Algoritmo;Radix_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.02335s
Tiempo promedio;0.00102335s
Tiempos individuales (s):
Ejecución 224;0.0010009
Ejecución 225;0.0010071
Ejecución 226;0.0009956
Ejecución 227;0.0010092
Ejecución 228;0.0005384
Ejecución 229;0.0005153
Ejecución 230;0.0003165
Ejecución 231;0.000401
Ejecución 232;0.004207
Ejecución 233;0.0009993
Ejecución 234;0.0009996
Ejecución 235;0.0005625
Ejecución 236;0.0009996
Ejecución 237;0.0010062
Ejecución 238;0.0010017
Ejecución 239;0.0010045
Ejecución 240;0.001005
Ejecución 241;0.0009992
Ejecución 242;0.0010012
Ejecución 243;0.0010166
Ejecución 244;0.001
Ejecución 245;0.0009984
Ejecución 246;0.0009979
Ejecución 247;0.0008954
Ejecución 248;0.0009987
Ejecución 249;0.0010002
Ejecución 250;0.001
Ejecución 251;0.0009925
Ejecución 252;0.000311
Ejecución 253;0.0010124
Ejecución 254;0.0009991
Ejecución 255;0.0010018
Ejecución 256;0.0010022
Ejecución 257;0.0010714
Ejecución 258;0.0009922
Ejecución 259;0.0003093
Ejecución 260;0.0004585
Ejecución 261;0.0004465
Ejecución 262;0.0009986
Ejecución 263;0.0010004
Ejecución 264;0.0009996
Ejecución 265;0.0005935
Ejecución 266;0.0009999
Ejecución 267;0.0010045
Ejecución 268;0.000999
Ejecución 269;0.0009993
Ejecución 270;0.0010067
Ejecución 271;0.0010006
Ejecución 272;0.000575
Ejecución 273;0.0010127
Ejecución 274;0.0009987
Ejecución 275;0.000999
Ejecución 276;0.0010008
Ejecución 277;0.0012989
Ejecución 278;0.0009992
Ejecución 279;0.0005709
Ejecución 280;0.0010029
Ejecución 281;0.0010001
Ejecución 282;0.0010013
Ejecución 283;0.0010053
Ejecución 284;0.0044334
Ejecución 285;0.0012669
Ejecución 286;0.001006
Ejecución 287;0.0012544
Ejecución 288;0.0010001
Ejecución 289;0.0003427
Ejecución 290;0.0009978
Ejecución 291;0.001
Ejecución 292;0.0011678
Ejecución 293;0.0009947
Ejecución 294;0.0010001
Ejecución 295;0.0009995
Ejecución 296;0.0015089
Ejecución 297;0.0004798
Ejecución 298;0.0010012
Ejecución 299;0.0009992
Ejecución 300;0.0010108
Ejecución 301;0.0009996
Ejecución 302;0.0009995
Ejecución 303;0.0009935
Ejecución 304;0.0009642
Ejecución 305;0.0004065
Ejecución 306;0.0012742
Ejecución 307;0.001
Ejecución 308;0.0010064
Ejecución 309;0.0010072
Ejecución 310;0.0009994
Ejecución 311;0.0009996
Ejecución 312;0.001
Ejecución 313;0.0010006
Ejecución 314;0.0009997
Ejecución 315;0.0004966
Ejecución 316;0.0009998
Ejecución 317;0.0009384
Ejecución 318;0.0010066
Ejecución 319;0.000951
Ejecución 320;0.0011536
Ejecución 321;0.0009995
Ejecución 322;0.0012594
Ejecución 323;0.0009969
Ejecución 324;0.0003758
Ejecución 325;0.0010849
Ejecución 326;0.0009991
Ejecución 327;0.0010151
Ejecución 328;0.0009878
Ejecución 329;0.0010822
Ejecución 330;0.0009994
Ejecución 331;0.0010001
Ejecución 332;0.0011513
Ejecución 333;0.001003
Ejecución 334;0.005734
Ejecución 335;0.0009973
Ejecución 336;0.0010498
Ejecución 337;0.0010104
Ejecución 338;0.0009964
Ejecución 339;0.0009993
Ejecución 340;0.0004151
Ejecución 341;0.0009981
Ejecución 342;0.0009999
Ejecución 343;0.0003454
Ejecución 344;0.0009982
Ejecución 345;0.0010003
Ejecución 346;0.0003089
Ejecución 347;0.0009997
Ejecución 348;0.0010002
Ejecución 349;0.0012385
Ejecución 350;0.0009999
Ejecución 351;0.0004696
Ejecución 352;0.0010547
Ejecución 353;0.0017013
Ejecución 354;0.0010161
Ejecución 355;0.0009983
Ejecución 356;0.0003427
Ejecución 357;0.0011112
Ejecución 358;0.0009977
Ejecución 359;0.0009985
Ejecución 360;0.0010122
Ejecución 361;0.0006576
Ejecución 362;0.0057419
Ejecución 363;0.0009994
Ejecución 364;0.0009997
Ejecución 365;0.0009999
Ejecución 366;0.000994
Ejecución 367;0.0010073
Ejecución 368;0.0011477
Ejecución 369;0.0009988
Ejecución 370;0.0005706
Ejecución 371;0.0012197
Ejecución 372;0.0024704
Ejecución 373;0.0010102
Ejecución 374;0.0010024
Ejecución 375;0.0009988
Ejecución 376;0.0010068
Ejecución 377;0.0012871
Ejecución 378;0.0015247
Ejecución 379;0.001
Ejecución 380;0.0011554
Ejecución 381;0.0012963
