Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 224;0.0011391
Ejecución 225;0.0009994
Ejecución 226;0.0009964
Ejecución 227;0.0008949
Ejecución 228;0.0010098
Ejecución 229;0.001297
Ejecución 230;0.0044941
Ejecución 231;0.0010825
Ejecución 232;0.0009929
Ejecución 233;0.0010102
Ejecución 234;0.000998
Ejecución 235;0.0009986
Ejecución 236;0.0010884
Ejecución 237;0.0009988
Ejecución 238;0.0009995
Ejecución 239;0.0010206
Ejecución 240;0.0009998
Ejecución 241;0.000584
Ejecución 242;0.001034
Ejecución 243;0.0010003
Ejecución 244;0.001
Ejecución 245;0.0010004
Ejecución 246;0.0009991
Ejecución 247;0.001041
Ejecución 248;0.0009899
Ejecución 249;0.0009993
Ejecución 250;0.0008813
Ejecución 251;0.0010094
Ejecución 252;0.0003336
Ejecución 253;0.0011361
Ejecución 254;0.0010006
Ejecución 255;0.0005521
Ejecución 256;0.0004897
Ejecución 257;0.0010133
Ejecución 258;0.0005104
Ejecución 259;0.0005749
Ejecución 260;0.0010041
Ejecución 261;0.0010066
Ejecución 262;0.0009998
Ejecución 263;0.0009996
Ejecución 264;0.0009971
Ejecución 265;0.0005163
Ejecución 266;0.0005462
Ejecución 267;0.0003515
Ejecución 268;0.0009935
Ejecución 269;0.0010131
Ejecución 270;0.0046055
Ejecución 271;0.000505
Ejecución 272;0.0011848
Ejecución 273;0.0009969
Ejecución 274;0.0009294
Ejecución 275;0.000996
Ejecución 276;0.0008362
Ejecución 277;0.0018594
Ejecución 278;0.0009984
Ejecución 279;0.001
Ejecución 280;0.0010034
Ejecución 281;0.0009434
Ejecución 282;0.0010789
Ejecución 283;0.0009877
Ejecución 284;0.0007802
Ejecución 285;0.0012856
Ejecución 286;0.0052865
Ejecución 287;0.0008311
Ejecución 288;0.0004201
Ejecución 289;0.0011856
Ejecución 290;0.0009995
Ejecución 291;0.0009998
