Algoritmo;Insertion_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.9540453s
Tiempo promedio;0.0169540s
Tiempos individuales (s):
Ejecución 222;0.0171995
Ejecución 223;0.0172711
Ejecución 224;0.0171857
Ejecución 225;0.0172090
Ejecución 226;0.0172225
Ejecución 227;0.0172487
Ejecución 228;0.0174226
Ejecución 229;0.0171703
Ejecución 230;0.0172236
Ejecución 231;0.0171289
Ejecución 232;0.0172278
Ejecución 233;0.0171120
Ejecución 234;0.0173531
Ejecución 235;0.0175368
Ejecución 236;0.0174753
Ejecución 237;0.0174757
Ejecución 238;0.0174725
Ejecución 239;0.0175600
Ejecución 240;0.0174998
Ejecución 241;0.0175487
Ejecución 242;0.0179475
Ejecución 243;0.0175298
Ejecución 244;0.0175124
Ejecución 245;0.0176124
Ejecución 246;0.0175707
Ejecución 247;0.0175294
Ejecución 248;0.0175944
Ejecución 249;0.0175360
Ejecución 250;0.0175770
Ejecución 251;0.0176015
Ejecución 252;0.0176111
Ejecución 253;0.0175451
Ejecución 254;0.0176845
Ejecución 255;0.0175932
Ejecución 256;0.0176381
Ejecución 257;0.0175827
Ejecución 258;0.0176145
Ejecución 259;0.0178741
Ejecución 260;0.0175321
Ejecución 261;0.0176664
Ejecución 262;0.0175694
Ejecución 263;0.0176149
Ejecución 264;0.0175487
Ejecución 265;0.0176420
Ejecución 266;0.0175943
Ejecución 267;0.0175499
Ejecución 268;0.0176314
Ejecución 269;0.0176662
Ejecución 270;0.0176205
Ejecución 271;0.0176244
Ejecución 272;0.0176299
Ejecución 273;0.0177223
Ejecución 274;0.0175903
Ejecución 275;0.0175639
Ejecución 276;0.0175683
Ejecución 277;0.0176008
Ejecución 278;0.0175714
Ejecución 279;0.0176688
Ejecución 280;0.0175882
Ejecución 281;0.0176337
Ejecución 282;0.0176112
Ejecución 283;0.0176532
Ejecución 284;0.0176195
Ejecución 285;0.0176889
Ejecución 286;0.0175919
Ejecución 287;0.0176378
Ejecución 288;0.0176140
Ejecución 289;0.0175211
Ejecución 290;0.0176937
Ejecución 291;0.0176516
Ejecución 292;0.0176690
Ejecución 293;0.0175785
Ejecución 294;0.0175002
Ejecución 295;0.0176361
Ejecución 296;0.0176604
Ejecución 297;0.0175207
Ejecución 298;0.0175430
Ejecución 299;0.0176732
Ejecución 300;0.0175329
Ejecución 301;0.0175771
Ejecución 302;0.0175135
Ejecución 303;0.0175945
Ejecución 304;0.0176375
Ejecución 305;0.0175619
Ejecución 306;0.0177933
Ejecución 307;0.0175540
Ejecución 308;0.0175597
Ejecución 309;0.0176676
Ejecución 310;0.0175731
Ejecución 311;0.0178587
Ejecución 312;0.0175944
Ejecución 313;0.0177152
Ejecución 314;0.0176126
Ejecución 315;0.0178196
Ejecución 316;0.0182014
Ejecución 317;0.0162147
Ejecución 318;0.0172568
Ejecución 319;0.0170885
Ejecución 320;0.0178276
Ejecución 321;0.0173325
Ejecución 322;0.0172173
Ejecución 323;0.0172528
Ejecución 324;0.0172118
Ejecución 325;0.0174758
Ejecución 326;0.0172064
Ejecución 327;0.0172735
Ejecución 328;0.0172497
Ejecución 329;0.0172085
Ejecución 330;0.0172355
Ejecución 331;0.0172753
Ejecución 332;0.0172163
Ejecución 333;0.0171828
Ejecución 334;0.0171592
Ejecución 335;0.0172803
Ejecución 336;0.0172525
Ejecución 337;0.0172596
Ejecución 338;0.0174083
Ejecución 339;0.0172457
Ejecución 340;0.0173151
Ejecución 341;0.0172483
Ejecución 342;0.0172699
Ejecución 343;0.0171510
Ejecución 344;0.0172555
Ejecución 345;0.0172223
Ejecución 346;0.0173337
Ejecución 347;0.0172401
Ejecución 348;0.0171797
Ejecución 349;0.0171769
Ejecución 350;0.0172681
Ejecución 351;0.0171892
Ejecución 352;0.0172683
Ejecución 353;0.0172100
Ejecución 354;0.0172600
Ejecución 355;0.0172345
Ejecución 356;0.0172550
Ejecución 357;0.0172190
Ejecución 358;0.0172275
