Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 222;0.0008150
Ejecución 223;0.0008180
Ejecución 224;0.0008182
Ejecución 225;0.0008371
Ejecución 226;0.0008153
Ejecución 227;0.0008230
Ejecución 228;0.0008256
Ejecución 229;0.0008226
Ejecución 230;0.0008207
Ejecución 231;0.0008305
Ejecución 232;0.0008161
Ejecución 233;0.0008343
Ejecución 234;0.0008382
Ejecución 235;0.0008514
Ejecución 236;0.0008334
Ejecución 237;0.0008309
Ejecución 238;0.0008330
Ejecución 239;0.0009257
Ejecución 240;0.0008514
Ejecución 241;0.0008417
Ejecución 242;0.0008429
Ejecución 243;0.0008293
Ejecución 244;0.0008422
Ejecución 245;0.0008498
Ejecución 246;0.0008238
Ejecución 247;0.0008316
Ejecución 248;0.0008320
Ejecución 249;0.0008380
Ejecución 250;0.0008104
Ejecución 251;0.0008195
Ejecución 252;0.0008303
Ejecución 253;0.0008341
Ejecución 254;0.0008330
Ejecución 255;0.0008491
Ejecución 256;0.0008471
Ejecución 257;0.0008405
Ejecución 258;0.0008238
Ejecución 259;0.0008221
Ejecución 260;0.0008168
Ejecución 261;0.0008234
Ejecución 262;0.0008229
Ejecución 263;0.0008215
Ejecución 264;0.0008348
Ejecución 265;0.0008143
Ejecución 266;0.0008324
Ejecución 267;0.0008235
Ejecución 268;0.0008789
Ejecución 269;0.0008453
Ejecución 270;0.0008326
Ejecución 271;0.0008448
Ejecución 272;0.0008477
Ejecución 273;0.0008425
Ejecución 274;0.0008321
Ejecución 275;0.0008190
Ejecución 276;0.0008246
Ejecución 277;0.0008290
Ejecución 278;0.0008444
Ejecución 279;0.0008558
Ejecución 280;0.0008415
Ejecución 281;0.0008188
Ejecución 282;0.0009019
Ejecución 283;0.0008094
Ejecución 284;0.0008172
Ejecución 285;0.0008120
Ejecución 286;0.0008146
Ejecución 287;0.0008131
Ejecución 288;0.0008312
Ejecución 289;0.0008286
Ejecución 290;0.0008332
Ejecución 291;0.0008281
Ejecución 292;0.0008358
Ejecución 293;0.0008334
Ejecución 294;0.0008281
