Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 222;0.0010730
Ejecución 223;0.0011026
Ejecución 224;0.0010647
Ejecución 225;0.0010679
Ejecución 226;0.0010623
Ejecución 227;0.0010730
Ejecución 228;0.0011155
Ejecución 229;0.0010699
Ejecución 230;0.0010491
Ejecución 231;0.0010753
Ejecución 232;0.0010525
Ejecución 233;0.0010510
Ejecución 234;0.0010638
Ejecución 235;0.0010915
Ejecución 236;0.0010722
Ejecución 237;0.0010739
Ejecución 238;0.0010836
Ejecución 239;0.0010755
Ejecución 240;0.0010794
Ejecución 241;0.0010781
Ejecución 242;0.0010796
Ejecución 243;0.0010723
Ejecución 244;0.0010785
Ejecución 245;0.0010663
Ejecución 246;0.0010650
Ejecución 247;0.0010807
Ejecución 248;0.0010808
Ejecución 249;0.0010929
Ejecución 250;0.0010782
Ejecución 251;0.0010975
Ejecución 252;0.0011079
Ejecución 253;0.0011883
Ejecución 254;0.0011006
Ejecución 255;0.0010506
Ejecución 256;0.0010779
Ejecución 257;0.0010851
Ejecución 258;0.0010991
Ejecución 259;0.0010789
Ejecución 260;0.0010845
Ejecución 261;0.0010717
Ejecución 262;0.0010818
Ejecución 263;0.0010882
Ejecución 264;0.0010865
Ejecución 265;0.0011148
Ejecución 266;0.0010920
Ejecución 267;0.0010758
Ejecución 268;0.0010689
Ejecución 269;0.0010712
Ejecución 270;0.0010508
Ejecución 271;0.0010657
Ejecución 272;0.0011082
Ejecución 273;0.0010847
Ejecución 274;0.0010715
Ejecución 275;0.0010667
Ejecución 276;0.0011146
Ejecución 277;0.0010738
Ejecución 278;0.0010771
Ejecución 279;0.0010713
Ejecución 280;0.0010634
Ejecución 281;0.0010763
Ejecución 282;0.0010959
Ejecución 283;0.0010725
Ejecución 284;0.0011014
Ejecución 285;0.0010682
Ejecución 286;0.0010710
Ejecución 287;0.0010716
Ejecución 288;0.0011351
Ejecución 289;0.0010657
Ejecución 290;0.0010892
Ejecución 291;0.0010784
Ejecución 292;0.0010622
Ejecución 293;0.0010780
Ejecución 294;0.0010781
Ejecución 295;0.0010914
Ejecución 296;0.0010737
Ejecución 297;0.0011020
Ejecución 298;0.0010761
Ejecución 299;0.0010620
Ejecución 300;0.0011814
Ejecución 301;0.0010645
Ejecución 302;0.0010767
Ejecución 303;0.0010753
Ejecución 304;0.0010942
Ejecución 305;0.0011378
Ejecución 306;0.0010822
Ejecución 307;0.0010573
Ejecución 308;0.0010600
Ejecución 309;0.0010777
Ejecución 310;0.0010800
Ejecución 311;0.0011061
