Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.1632408s
Tiempo promedio;0.0161632s
Tiempos individuales (s):
Ejecución 222;0.0146115
Ejecución 223;0.0148153
Ejecución 224;0.0148426
Ejecución 225;0.0151747
Ejecución 226;0.0166394
Ejecución 227;0.0168505
Ejecución 228;0.0156652
Ejecución 229;0.0152144
Ejecución 230;0.0156384
Ejecución 231;0.0148674
Ejecución 232;0.0146562
Ejecución 233;0.0156679
Ejecución 234;0.0149990
Ejecución 235;0.0153381
Ejecución 236;0.0150707
Ejecución 237;0.0152921
Ejecución 238;0.0155350
Ejecución 239;0.0156739
Ejecución 240;0.0163637
Ejecución 241;0.0170833
Ejecución 242;0.0167931
Ejecución 243;0.0164251
Ejecución 244;0.0168153
Ejecución 245;0.0166479
Ejecución 246;0.0166233
Ejecución 247;0.0168953
Ejecución 248;0.0166181
Ejecución 249;0.0159431
Ejecución 250;0.0159732
Ejecución 251;0.0152013
Ejecución 252;0.0155536
Ejecución 253;0.0157106
Ejecución 254;0.0159460
Ejecución 255;0.0157958
Ejecución 256;0.0154034
Ejecución 257;0.0145351
Ejecución 258;0.0150280
Ejecución 259;0.0153463
Ejecución 260;0.0159575
Ejecución 261;0.0150839
Ejecución 262;0.0153305
Ejecución 263;0.0155803
Ejecución 264;0.0155338
Ejecución 265;0.0168513
Ejecución 266;0.0149789
Ejecución 267;0.0159891
Ejecución 268;0.0165318
Ejecución 269;0.0168178
Ejecución 270;0.0165788
Ejecución 271;0.0167802
Ejecución 272;0.0170222
Ejecución 273;0.0170947
Ejecución 274;0.0163730
Ejecución 275;0.0168671
Ejecución 276;0.0171023
Ejecución 277;0.0165943
Ejecución 278;0.0163571
Ejecución 279;0.0161997
Ejecución 280;0.0173129
Ejecución 281;0.0166544
Ejecución 282;0.0169803
Ejecución 283;0.0164849
Ejecución 284;0.0170447
Ejecución 285;0.0176443
Ejecución 286;0.0173469
Ejecución 287;0.0161016
Ejecución 288;0.0169376
Ejecución 289;0.0173386
Ejecución 290;0.0171176
Ejecución 291;0.0167978
Ejecución 292;0.0167422
Ejecución 293;0.0176521
Ejecución 294;0.0171453
Ejecución 295;0.0178316
Ejecución 296;0.0172461
Ejecución 297;0.0165529
Ejecución 298;0.0170867
Ejecución 299;0.0170832
Ejecución 300;0.0180819
Ejecución 301;0.0165317
Ejecución 302;0.0171800
Ejecución 303;0.0167326
Ejecución 304;0.0163337
Ejecución 305;0.0173749
Ejecución 306;0.0171456
Ejecución 307;0.0171565
Ejecución 308;0.0178406
Ejecución 309;0.0179061
Ejecución 310;0.0166235
Ejecución 311;0.0179067
Ejecución 312;0.0171203
Ejecución 313;0.0166992
Ejecución 314;0.0177008
Ejecución 315;0.0168189
Ejecución 316;0.0167339
Ejecución 317;0.0165807
Ejecución 318;0.0163967
Ejecución 319;0.0171825
Ejecución 320;0.0173093
Ejecución 321;0.0177060
Ejecución 322;0.0169299
Ejecución 323;0.0170058
Ejecución 324;0.0171804
Ejecución 325;0.0167741
Ejecución 326;0.0169847
Ejecución 327;0.0170258
Ejecución 328;0.0176494
Ejecución 329;0.0175276
Ejecución 330;0.0166575
Ejecución 331;0.0166617
Ejecución 332;0.0176753
Ejecución 333;0.0175481
Ejecución 334;0.0164928
Ejecución 335;0.0170617
Ejecución 336;0.0171699
Ejecución 337;0.0165983
Ejecución 338;0.0164451
Ejecución 339;0.0171547
Ejecución 340;0.0167688
Ejecución 341;0.0170265
Ejecución 342;0.0176637
Ejecución 343;0.0169204
Ejecución 344;0.0168668
Ejecución 345;0.0170655
Ejecución 346;0.0173510
Ejecución 347;0.0180388
Ejecución 348;0.0170307
Ejecución 349;0.0164127
Ejecución 350;0.0165119
Ejecución 351;0.0161260
Ejecución 352;0.0162455
Ejecución 353;0.0170731
Ejecución 354;0.0172758
Ejecución 355;0.0161723
Ejecución 356;0.0169635
Ejecución 357;0.0171630
Ejecución 358;0.0166987
Ejecución 359;0.0163574
Ejecución 360;0.0173738
Ejecución 361;0.0171182
Ejecución 362;0.0166075
Ejecución 363;0.0168054
Ejecución 364;0.0180235
Ejecución 365;0.0170772
Ejecución 366;0.0169079
Ejecución 367;0.0166029
Ejecución 368;0.0161599
Ejecución 369;0.0171651
Ejecución 370;0.0175870
Ejecución 371;0.0175358
Ejecución 372;0.0170458
Ejecución 373;0.0172101
Ejecución 374;0.0165178
Ejecución 375;0.0171759
Ejecución 376;0.0170352
Ejecución 377;0.0168998
Ejecución 378;0.0179507
Ejecución 379;0.0166951
Ejecución 380;0.0175991
Ejecución 381;0.0170341
Ejecución 382;0.0170584
Ejecución 383;0.0168715
Ejecución 384;0.0171279
Ejecución 385;0.0170744
Ejecución 386;0.0173883
Ejecución 387;0.0150561
Ejecución 388;0.0154423
Ejecución 389;0.0157336
Ejecución 390;0.0158801
Ejecución 391;0.0158830
Ejecución 392;0.0152913
Ejecución 393;0.0151355
Ejecución 394;0.0156558
Ejecución 395;0.0152851
Ejecución 396;0.0151538
Ejecución 397;0.0155080
Ejecución 398;0.0149560
Ejecución 399;0.0151794
Ejecución 400;0.0149805
Ejecución 401;0.0142641
Ejecución 402;0.0150533
Ejecución 403;0.0149676
Ejecución 404;0.0152567
Ejecución 405;0.0152516
Ejecución 406;0.0150393
Ejecución 407;0.0142749
Ejecución 408;0.0152525
Ejecución 409;0.0155225
Ejecución 410;0.0151334
Ejecución 411;0.0143748
Ejecución 412;0.0146180
Ejecución 413;0.0151564
Ejecución 414;0.0159027
Ejecución 415;0.0160705
Ejecución 416;0.0155658
Ejecución 417;0.0155827
Ejecución 418;0.0150699
Ejecución 419;0.0156502
Ejecución 420;0.0148996
Ejecución 421;0.0154035
Ejecución 422;0.0160717
Ejecución 423;0.0158904
Ejecución 424;0.0153356
Ejecución 425;0.0151149
Ejecución 426;0.0162432
Ejecución 427;0.0155187
Ejecución 428;0.0155711
Ejecución 429;0.0150340
Ejecución 430;0.0157881
Ejecución 431;0.0155938
Ejecución 432;0.0152536
Ejecución 433;0.0157899
Ejecución 434;0.0151015
Ejecución 435;0.0155346
Ejecución 436;0.0151258
Ejecución 437;0.0150752
Ejecución 438;0.0156357
Ejecución 439;0.0164005
Ejecución 440;0.0156658
Ejecución 441;0.0159364
Ejecución 442;0.0162785
Ejecución 443;0.0154156
Ejecución 444;0.0161850
Ejecución 445;0.0158934
Ejecución 446;0.0146469
Ejecución 447;0.0150701
Ejecución 448;0.0152379
Ejecución 449;0.0160276
Ejecución 450;0.0153764
Ejecución 451;0.0161846
Ejecución 452;0.0161221
Ejecución 453;0.0150114
Ejecución 454;0.0154327
Ejecución 455;0.0151280
Ejecución 456;0.0150560
Ejecución 457;0.0161226
Ejecución 458;0.0153516
Ejecución 459;0.0149950
Ejecución 460;0.0154355
Ejecución 461;0.0147665
Ejecución 462;0.0155211
Ejecución 463;0.0159141
Ejecución 464;0.0158211
Ejecución 465;0.0152452
Ejecución 466;0.0150764
Ejecución 467;0.0155166
Ejecución 468;0.0153522
Ejecución 469;0.0149661
Ejecución 470;0.0146186
Ejecución 471;0.0160844
Ejecución 472;0.0167691
Ejecución 473;0.0159916
Ejecución 474;0.0149552
Ejecución 475;0.0145320
Ejecución 476;0.0158798
Ejecución 477;0.0157635
Ejecución 478;0.0155225
Ejecución 479;0.0151584
Ejecución 480;0.0155388
Ejecución 481;0.0159015
Ejecución 482;0.0160753
Ejecución 483;0.0150258
Ejecución 484;0.0150486
Ejecución 485;0.0155270
Ejecución 486;0.0160256
Ejecución 487;0.0151015
Ejecución 488;0.0159693
Ejecución 489;0.0158179
Ejecución 490;0.0155399
Ejecución 491;0.0151892
Ejecución 492;0.0153201
Ejecución 493;0.0150252
Ejecución 494;0.0149742
Ejecución 495;0.0146931
Ejecución 496;0.0154374
Ejecución 497;0.0155497
Ejecución 498;0.0149098
Ejecución 499;0.0151021
Ejecución 500;0.0156324
Ejecución 501;0.0151454
Ejecución 502;0.0162111
Ejecución 503;0.0159547
Ejecución 504;0.0159747
Ejecución 505;0.0153257
Ejecución 506;0.0150990
Ejecución 507;0.0157031
Ejecución 508;0.0154728
Ejecución 509;0.0159715
Ejecución 510;0.0155613
Ejecución 511;0.0151144
Ejecución 512;0.0152520
Ejecución 513;0.0151098
Ejecución 514;0.0152486
Ejecución 515;0.0155307
Ejecución 516;0.0159912
Ejecución 517;0.0155979
Ejecución 518;0.0151723
Ejecución 519;0.0153392
Ejecución 520;0.0157137
Ejecución 521;0.0161367
Ejecución 522;0.0155299
Ejecución 523;0.0156829
Ejecución 524;0.0155612
Ejecución 525;0.0150767
Ejecución 526;0.0150552
Ejecución 527;0.0150150
Ejecución 528;0.0160721
Ejecución 529;0.0155350
Ejecución 530;0.0179129
Ejecución 531;0.0156682
Ejecución 532;0.0164204
Ejecución 533;0.0164311
Ejecución 534;0.0166993
Ejecución 535;0.0167769
Ejecución 536;0.0168344
Ejecución 537;0.0166929
Ejecución 538;0.0163309
Ejecución 539;0.0158219
Ejecución 540;0.0167111
Ejecución 541;0.0176390
Ejecución 542;0.0171231
Ejecución 543;0.0173782
Ejecución 544;0.0166084
Ejecución 545;0.0167776
Ejecución 546;0.0155233
Ejecución 547;0.0160981
Ejecución 548;0.0148779
Ejecución 549;0.0156865
Ejecución 550;0.0152615
Ejecución 551;0.0152422
Ejecución 552;0.0149883
Ejecución 553;0.0154599
Ejecución 554;0.0152829
Ejecución 555;0.0157543
Ejecución 556;0.0154299
Ejecución 557;0.0144495
Ejecución 558;0.0155320
Ejecución 559;0.0150087
Ejecución 560;0.0149408
Ejecución 561;0.0156707
Ejecución 562;0.0151099
Ejecución 563;0.0152908
Ejecución 564;0.0156724
Ejecución 565;0.0151925
Ejecución 566;0.0152642
Ejecución 567;0.0161607
Ejecución 568;0.0155531
Ejecución 569;0.0162453
Ejecución 570;0.0158854
Ejecución 571;0.0146523
Ejecución 572;0.0150543
Ejecución 573;0.0152309
Ejecución 574;0.0160435
Ejecución 575;0.0156361
Ejecución 576;0.0151556
Ejecución 577;0.0161657
Ejecución 578;0.0174494
Ejecución 579;0.0157644
Ejecución 580;0.0161578
Ejecución 581;0.0155742
Ejecución 582;0.0162743
Ejecución 583;0.0155411
Ejecución 584;0.0156061
Ejecución 585;0.0160000
Ejecución 586;0.0168641
Ejecución 587;0.0167032
Ejecución 588;0.0173165
Ejecución 589;0.0163777
Ejecución 590;0.0166260
Ejecución 591;0.0173056
Ejecución 592;0.0167801
Ejecución 593;0.0166476
Ejecución 594;0.0161437
Ejecución 595;0.0170458
Ejecución 596;0.0165369
Ejecución 597;0.0167681
Ejecución 598;0.0170802
Ejecución 599;0.0170767
Ejecución 600;0.0169510
Ejecución 601;0.0170435
Ejecución 602;0.0169907
Ejecución 603;0.0171452
Ejecución 604;0.0170150
Ejecución 605;0.0161649
Ejecución 606;0.0214474
Ejecución 607;0.0147392
Ejecución 608;0.0152869
Ejecución 609;0.0160505
Ejecución 610;0.0155381
Ejecución 611;0.0147506
Ejecución 612;0.0143265
Ejecución 613;0.0155492
Ejecución 614;0.0150340
Ejecución 615;0.0151795
Ejecución 616;0.0159572
Ejecución 617;0.0162007
Ejecución 618;0.0153970
Ejecución 619;0.0161548
Ejecución 620;0.0155727
Ejecución 621;0.0158330
Ejecución 622;0.0160213
Ejecución 623;0.0162139
Ejecución 624;0.0155754
Ejecución 625;0.0161325
Ejecución 626;0.0150643
Ejecución 627;0.0154165
Ejecución 628;0.0151799
Ejecución 629;0.0161063
Ejecución 630;0.0156766
Ejecución 631;0.0152323
Ejecución 632;0.0155298
Ejecución 633;0.0157516
Ejecución 634;0.0160806
Ejecución 635;0.0155384
Ejecución 636;0.0161552
Ejecución 637;0.0153610
Ejecución 638;0.0145825
Ejecución 639;0.0151959
Ejecución 640;0.0172963
Ejecución 641;0.0159257
Ejecución 642;0.0160981
Ejecución 643;0.0154378
Ejecución 644;0.0159656
Ejecución 645;0.0145471
Ejecución 646;0.0157705
Ejecución 647;0.0159689
Ejecución 648;0.0156441
Ejecución 649;0.0162979
Ejecución 650;0.0154528
Ejecución 651;0.0153085
Ejecución 652;0.0156076
Ejecución 653;0.0152430
Ejecución 654;0.0151098
Ejecución 655;0.0155210
Ejecución 656;0.0161327
Ejecución 657;0.0159900
Ejecución 658;0.0165917
Ejecución 659;0.0167140
Ejecución 660;0.0170470
Ejecución 661;0.0163247
Ejecución 662;0.0160955
Ejecución 663;0.0158481
Ejecución 664;0.0163102
Ejecución 665;0.0161920
Ejecución 666;0.0171486
Ejecución 667;0.0171078
Ejecución 668;0.0173285
Ejecución 669;0.0169727
Ejecución 670;0.0166641
Ejecución 671;0.0165789
Ejecución 672;0.0162390
Ejecución 673;0.0164555
Ejecución 674;0.0160454
Ejecución 675;0.0165429
Ejecución 676;0.0166003
Ejecución 677;0.0171028
Ejecución 678;0.0161019
Ejecución 679;0.0162357
Ejecución 680;0.0169816
Ejecución 681;0.0176405
Ejecución 682;0.0170477
Ejecución 683;0.0166171
Ejecución 684;0.0168813
Ejecución 685;0.0169234
Ejecución 686;0.0163130
Ejecución 687;0.0165117
Ejecución 688;0.0160816
Ejecución 689;0.0168803
Ejecución 690;0.0166062
Ejecución 691;0.0167115
Ejecución 692;0.0169135
Ejecución 693;0.0170767
Ejecución 694;0.0177228
Ejecución 695;0.0166591
Ejecución 696;0.0166480
Ejecución 697;0.0162281
Ejecución 698;0.0165577
Ejecución 699;0.0171857
Ejecución 700;0.0171052
Ejecución 701;0.0169567
Ejecución 702;0.0169421
Ejecución 703;0.0170202
Ejecución 704;0.0170767
Ejecución 705;0.0161973
Ejecución 706;0.0163269
Ejecución 707;0.0171615
Ejecución 708;0.0167550
Ejecución 709;0.0159882
Ejecución 710;0.0171286
Ejecución 711;0.0168702
Ejecución 712;0.0163373
Ejecución 713;0.0162322
Ejecución 714;0.0167759
Ejecución 715;0.0169273
Ejecución 716;0.0170354
Ejecución 717;0.0176325
Ejecución 718;0.0174222
Ejecución 719;0.0170807
Ejecución 720;0.0170414
Ejecución 721;0.0174367
Ejecución 722;0.0176942
Ejecución 723;0.0165715
Ejecución 724;0.0170474
Ejecución 725;0.0169324
Ejecución 726;0.0167116
Ejecución 727;0.0195702
Ejecución 728;0.0149966
Ejecución 729;0.0155578
Ejecución 730;0.0151789
Ejecución 731;0.0148344
Ejecución 732;0.0150412
Ejecución 733;0.0153749
Ejecución 734;0.0150337
Ejecución 735;0.0145364
Ejecución 736;0.0153651
Ejecución 737;0.0158575
Ejecución 738;0.0159809
Ejecución 739;0.0156274
Ejecución 740;0.0157345
Ejecución 741;0.0155255
Ejecución 742;0.0151021
Ejecución 743;0.0156111
Ejecución 744;0.0158761
Ejecución 745;0.0160989
Ejecución 746;0.0155547
Ejecución 747;0.0160913
Ejecución 748;0.0155390
Ejecución 749;0.0158900
Ejecución 750;0.0162743
Ejecución 751;0.0156520
Ejecución 752;0.0161067
Ejecución 753;0.0151535
Ejecución 754;0.0154590
Ejecución 755;0.0160934
Ejecución 756;0.0149944
Ejecución 757;0.0149947
Ejecución 758;0.0146295
Ejecución 759;0.0149721
Ejecución 760;0.0146300
Ejecución 761;0.0151779
Ejecución 762;0.0157263
Ejecución 763;0.0171077
Ejecución 764;0.0160665
Ejecución 765;0.0157753
Ejecución 766;0.0158383
Ejecución 767;0.0155874
Ejecución 768;0.0173000
Ejecución 769;0.0158442
Ejecución 770;0.0166902
Ejecución 771;0.0168285
Ejecución 772;0.0163028
Ejecución 773;0.0176423
Ejecución 774;0.0171653
Ejecución 775;0.0168833
Ejecución 776;0.0150439
Ejecución 777;0.0156228
Ejecución 778;0.0150783
Ejecución 779;0.0149544
Ejecución 780;0.0158449
Ejecución 781;0.0167456
Ejecución 782;0.0170451
