Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 222;0.0009955
Ejecución 223;0.0009860
Ejecución 224;0.0024350
Ejecución 225;0.0010903
Ejecución 226;0.0009910
Ejecución 227;0.0019927
Ejecución 228;0.0020167
Ejecución 229;0.0019886
Ejecución 230;0.0014464
Ejecución 231;0.0020935
Ejecución 232;0.0020051
Ejecución 233;0.0015834
Ejecución 234;0.0020931
Ejecución 235;0.0009985
Ejecución 236;0.0015007
Ejecución 237;0.0020071
Ejecución 238;0.0009982
Ejecución 239;0.0010041
Ejecución 240;0.0019885
Ejecución 241;0.0023112
Ejecución 242;0.0010149
Ejecución 243;0.0010106
Ejecución 244;0.0019865
Ejecución 245;0.0020028
Ejecución 246;0.0020126
Ejecución 247;0.0010950
Ejecución 248;0.0019906
Ejecución 249;0.0020206
Ejecución 250;0.0019882
Ejecución 251;0.0009913
Ejecución 252;0.0018814
Ejecución 253;0.0014098
Ejecución 254;0.0022500
Ejecución 255;0.0020032
Ejecución 256;0.0009971
Ejecución 257;0.0014839
Ejecución 258;0.0011080
Ejecución 259;0.0009996
Ejecución 260;0.0019912
Ejecución 261;0.0021029
Ejecución 262;0.0019118
Ejecución 263;0.0021570
Ejecución 264;0.0029532
Ejecución 265;0.0019935
Ejecución 266;0.0019896
Ejecución 267;0.0021137
Ejecución 268;0.0020105
Ejecución 269;0.0029899
Ejecución 270;0.0031317
Ejecución 271;0.0020027
Ejecución 272;0.0025712
Ejecución 273;0.0021179
Ejecución 274;0.0011913
Ejecución 275;0.0009979
Ejecución 276;0.0019969
Ejecución 277;0.0019999
Ejecución 278;0.0022342
Ejecución 279;0.0019906
Ejecución 280;0.0020193
Ejecución 281;0.0009946
Ejecución 282;0.0010128
Ejecución 283;0.0012510
Ejecución 284;0.0019896
Ejecución 285;0.0020815
Ejecución 286;0.0030586
Ejecución 287;0.0021779
Ejecución 288;0.0023216
Ejecución 289;0.0020020
Ejecución 290;0.0020012
Ejecución 291;0.0033150
Ejecución 292;0.0030049
Ejecución 293;0.0022346
Ejecución 294;0.0022106
Ejecución 295;0.0009984
Ejecución 296;0.0009996
Ejecución 297;0.0020081
Ejecución 298;0.0019909
Ejecución 299;0.0019894
Ejecución 300;0.0030092
Ejecución 301;0.0031783
Ejecución 302;0.0020736
Ejecución 303;0.0021063
Ejecución 304;0.0019889
Ejecución 305;0.0019194
Ejecución 306;0.0020951
Ejecución 307;0.0015977
Ejecución 308;0.0010930
Ejecución 309;0.0020012
Ejecución 310;0.0020020
Ejecución 311;0.0019997
Ejecución 312;0.0014099
Ejecución 313;0.0020984
Ejecución 314;0.0020008
Ejecución 315;0.0019903
Ejecución 316;0.0020029
Ejecución 317;0.0019983
Ejecución 318;0.0015006
Ejecución 319;0.0019996
Ejecución 320;0.0019939
Ejecución 321;0.0009917
Ejecución 322;0.0009040
Ejecución 323;0.0013329
Ejecución 324;0.0019997
Ejecución 325;0.0020087
Ejecución 326;0.0009917
Ejecución 327;0.0016072
Ejecución 328;0.0015240
Ejecución 329;0.0020946
Ejecución 330;0.0020009
Ejecución 331;0.0019989
Ejecución 332;0.0009930
Ejecución 333;0.0009932
Ejecución 334;0.0015721
Ejecución 335;0.0009870
Ejecución 336;0.0009986
Ejecución 337;0.0019925
Ejecución 338;0.0020142
Ejecución 339;0.0012561
Ejecución 340;0.0009964
Ejecución 341;0.0010017
Ejecución 342;0.0019947
Ejecución 343;0.0020058
Ejecución 344;0.0020063
Ejecución 345;0.0010876
Ejecución 346;0.0020107
Ejecución 347;0.0020038
Ejecución 348;0.0019922
Ejecución 349;0.0020057
Ejecución 350;0.0015448
Ejecución 351;0.0020002
Ejecución 352;0.0020269
Ejecución 353;0.0016570
Ejecución 354;0.0020198
Ejecución 355;0.0018911
Ejecución 356;0.0013622
Ejecución 357;0.0019980
Ejecución 358;0.0019968
Ejecución 359;0.0019998
Ejecución 360;0.0020934
Ejecución 361;0.0015832
Ejecución 362;0.0021174
Ejecución 363;0.0009776
Ejecución 364;0.0009992
Ejecución 365;0.0020221
Ejecución 366;0.0019770
Ejecución 367;0.0020123
Ejecución 368;0.0019939
Ejecución 369;0.0019931
Ejecución 370;0.0010014
Ejecución 371;0.0013199
Ejecución 372;0.0020889
Ejecución 373;0.0010016
Ejecución 374;0.0010019
Ejecución 375;0.0010145
Ejecución 376;0.0019792
Ejecución 377;0.0023387
Ejecución 378;0.0009967
Ejecución 379;0.0009932
Ejecución 380;0.0019961
Ejecución 381;0.0020182
Ejecución 382;0.0012773
Ejecución 383;0.0009993
Ejecución 384;0.0019930
Ejecución 385;0.0019998
Ejecución 386;0.0010916
Ejecución 387;0.0019589
Ejecución 388;0.0013908
Ejecución 389;0.0009681
Ejecución 390;0.0019992
Ejecución 391;0.0020134
Ejecución 392;0.0019995
Ejecución 393;0.0014233
Ejecución 394;0.0020898
Ejecución 395;0.0020044
Ejecución 396;0.0019947
Ejecución 397;0.0010044
Ejecución 398;0.0014431
Ejecución 399;0.0011030
Ejecución 400;0.0010077
Ejecución 401;0.0009846
Ejecución 402;0.0019974
Ejecución 403;0.0020064
Ejecución 404;0.0023864
Ejecución 405;0.0009970
Ejecución 406;0.0010032
Ejecución 407;0.0010020
Ejecución 408;0.0019018
Ejecución 409;0.0023830
Ejecución 410;0.0010060
Ejecución 411;0.0012659
Ejecución 412;0.0020154
Ejecución 413;0.0020031
Ejecución 414;0.0019057
Ejecución 415;0.0015961
Ejecución 416;0.0020972
Ejecución 417;0.0020049
Ejecución 418;0.0020063
Ejecución 419;0.0019883
Ejecución 420;0.0009948
Ejecución 421;0.0009918
Ejecución 422;0.0020107
Ejecución 423;0.0019970
Ejecución 424;0.0009996
Ejecución 425;0.0013928
Ejecución 426;0.0020872
Ejecución 427;0.0020158
Ejecución 428;0.0019873
Ejecución 429;0.0019984
Ejecución 430;0.0014510
Ejecución 431;0.0021006
Ejecución 432;0.0019946
Ejecución 433;0.0009921
Ejecución 434;0.0010021
Ejecución 435;0.0025936
