Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 222;0.0009997
Ejecución 223;0.0010009
Ejecución 224;0.0010103
Ejecución 225;0.0010001
Ejecución 226;0.0010007
Ejecución 227;0.0009980
Ejecución 228;0.0010004
Ejecución 229;0.0009996
Ejecución 230;0.0010004
Ejecución 231;0.0010000
Ejecución 232;0.0009996
Ejecución 233;0.0010000
Ejecución 234;0.0010100
Ejecución 235;0.0009997
Ejecución 236;0.0009998
Ejecución 237;0.0010017
Ejecución 238;0.0009993
Ejecución 239;0.0009996
Ejecución 240;0.0010000
Ejecución 241;0.0009999
Ejecución 242;0.0009998
Ejecución 243;0.0012808
Ejecución 244;0.0010000
Ejecución 245;0.0010000
Ejecución 246;0.0010018
Ejecución 247;0.0009999
Ejecución 248;0.0010003
Ejecución 249;0.0009988
Ejecución 250;0.0010002
Ejecución 251;0.0010009
Ejecución 252;0.0012733
Ejecución 253;0.0009994
Ejecución 254;0.0010005
Ejecución 255;0.0009997
Ejecución 256;0.0010001
Ejecución 257;0.0009997
Ejecución 258;0.0010004
Ejecución 259;0.0009998
Ejecución 260;0.0010000
Ejecución 261;0.0009998
Ejecución 262;0.0010101
Ejecución 263;0.0010006
Ejecución 264;0.0009999
Ejecución 265;0.0009998
Ejecución 266;0.0009996
Ejecución 267;0.0010017
Ejecución 268;0.0009982
Ejecución 269;0.0013582
Ejecución 270;0.0010109
Ejecución 271;0.0009997
Ejecución 272;0.0010000
Ejecución 273;0.0009999
Ejecución 274;0.0010005
Ejecución 275;0.0010003
Ejecución 276;0.0010013
Ejecución 277;0.0013229
Ejecución 278;0.0010107
Ejecución 279;0.0009999
Ejecución 280;0.0009999
Ejecución 281;0.0009998
Ejecución 282;0.0010000
Ejecución 283;0.0010138
Ejecución 284;0.0010000
Ejecución 285;0.0010002
Ejecución 286;0.0009998
Ejecución 287;0.0009998
Ejecución 288;0.0010100
Ejecución 289;0.0009996
Ejecución 290;0.0009997
Ejecución 291;0.0010002
Ejecución 292;0.0009997
Ejecución 293;0.0010002
Ejecución 294;0.0009999
Ejecución 295;0.0010001
Ejecución 296;0.0015136
Ejecución 297;0.0013223
Ejecución 298;0.0010106
Ejecución 299;0.0009999
Ejecución 300;0.0010000
Ejecución 301;0.0010000
Ejecución 302;0.0010000
Ejecución 303;0.0009999
Ejecución 304;0.0010003
Ejecución 305;0.0009999
Ejecución 306;0.0010008
Ejecución 307;0.0010148
Ejecución 308;0.0009999
Ejecución 309;0.0009999
Ejecución 310;0.0010000
Ejecución 311;0.0010004
Ejecución 312;0.0010000
Ejecución 313;0.0009997
Ejecución 314;0.0010000
Ejecución 315;0.0010003
Ejecución 316;0.0010001
Ejecución 317;0.0010014
Ejecución 318;0.0009981
Ejecución 319;0.0010000
Ejecución 320;0.0010000
Ejecución 321;0.0010002
Ejecución 322;0.0010000
Ejecución 323;0.0013015
Ejecución 324;0.0010104
Ejecución 325;0.0009998
Ejecución 326;0.0010008
Ejecución 327;0.0009993
Ejecución 328;0.0010005
Ejecución 329;0.0009997
Ejecución 330;0.0009999
Ejecución 331;0.0009999
Ejecución 332;0.0010002
Ejecución 333;0.0010001
Ejecución 334;0.0010105
Ejecución 335;0.0009998
Ejecución 336;0.0010004
Ejecución 337;0.0010001
Ejecución 338;0.0009996
Ejecución 339;0.0009999
Ejecución 340;0.0010008
Ejecución 341;0.0009993
Ejecución 342;0.0012647
Ejecución 343;0.0009995
Ejecución 344;0.0010002
Ejecución 345;0.0009999
Ejecución 346;0.0010002
Ejecución 347;0.0009999
Ejecución 348;0.0010004
Ejecución 349;0.0009995
Ejecución 350;0.0005167
Ejecución 351;0.0010172
Ejecución 352;0.0009986
Ejecución 353;0.0012025
Ejecución 354;0.0009997
Ejecución 355;0.0010000
Ejecución 356;0.0010001
Ejecución 357;0.0009996
Ejecución 358;0.0010007
Ejecución 359;0.0009994
Ejecución 360;0.0010006
Ejecución 361;0.0013361
Ejecución 362;0.0010107
Ejecución 363;0.0009998
Ejecución 364;0.0010000
Ejecución 365;0.0010001
Ejecución 366;0.0010005
Ejecución 367;0.0009998
Ejecución 368;0.0009999
Ejecución 369;0.0013187
Ejecución 370;0.0010104
Ejecución 371;0.0010002
Ejecución 372;0.0009998
Ejecución 373;0.0010143
Ejecución 374;0.0010002
Ejecución 375;0.0010004
Ejecución 376;0.0009996
Ejecución 377;0.0010008
Ejecución 378;0.0009987
Ejecución 379;0.0012783
Ejecución 380;0.0009997
Ejecución 381;0.0010005
Ejecución 382;0.0010007
Ejecución 383;0.0009991
Ejecución 384;0.0009997
Ejecución 385;0.0010004
Ejecución 386;0.0009996
Ejecución 387;0.0018889
Ejecución 388;0.0010106
Ejecución 389;0.0009998
Ejecución 390;0.0015139
Ejecución 391;0.0010149
Ejecución 392;0.0009999
Ejecución 393;0.0010002
Ejecución 394;0.0009997
Ejecución 395;0.0010004
Ejecución 396;0.0010008
Ejecución 397;0.0009995
Ejecución 398;0.0012022
Ejecución 399;0.0009994
Ejecución 400;0.0010003
Ejecución 401;0.0009997
Ejecución 402;0.0010001
Ejecución 403;0.0010004
Ejecución 404;0.0009995
Ejecución 405;0.0009999
Ejecución 406;0.0010002
Ejecución 407;0.0010104
Ejecución 408;0.0010017
Ejecución 409;0.0009996
Ejecución 410;0.0010018
Ejecución 411;0.0009996
Ejecución 412;0.0009998
Ejecución 413;0.0009998
Ejecución 414;0.0010000
Ejecución 415;0.0011993
Ejecución 416;0.0010004
Ejecución 417;0.0009996
Ejecución 418;0.0010000
Ejecución 419;0.0010000
Ejecución 420;0.0009997
Ejecución 421;0.0010004
Ejecución 422;0.0009996
Ejecución 423;0.0010003
Ejecución 424;0.0009996
Ejecución 425;0.0010004
Ejecución 426;0.0009996
Ejecución 427;0.0010001
Ejecución 428;0.0010002
Ejecución 429;0.0010011
Ejecución 430;0.0010000
Ejecución 431;0.0009994
Ejecución 432;0.0009993
Ejecución 433;0.0009996
Ejecución 434;0.0012160
Ejecución 435;0.0009995
Ejecución 436;0.0010018
Ejecución 437;0.0009977
Ejecución 438;0.0010003
Ejecución 439;0.0010003
Ejecución 440;0.0009996
Ejecución 441;0.0009999
Ejecución 442;0.0010004
Ejecución 443;0.0010003
Ejecución 444;0.0012955
Ejecución 445;0.0009998
Ejecución 446;0.0009995
Ejecución 447;0.0010004
Ejecución 448;0.0009999
Ejecución 449;0.0010150
Ejecución 450;0.0009995
Ejecución 451;0.0009998
Ejecución 452;0.0013095
Ejecución 453;0.0010109
Ejecución 454;0.0009994
Ejecución 455;0.0010002
Ejecución 456;0.0010001
Ejecución 457;0.0010002
Ejecución 458;0.0010001
Ejecución 459;0.0009994
Ejecución 460;0.0010007
Ejecución 461;0.0009997
Ejecución 462;0.0010003
Ejecución 463;0.0010100
Ejecución 464;0.0010011
Ejecución 465;0.0009989
Ejecución 466;0.0010014
Ejecución 467;0.0010145
Ejecución 468;0.0010004
Ejecución 469;0.0009996
Ejecución 470;0.0010014
Ejecución 471;0.0013034
Ejecución 472;0.0010105
Ejecución 473;0.0010000
Ejecución 474;0.0009999
Ejecución 475;0.0010018
Ejecución 476;0.0009985
Ejecución 477;0.0009999
Ejecución 478;0.0009997
Ejecución 479;0.0010007
Ejecución 480;0.0009993
Ejecución 481;0.0010006
Ejecución 482;0.0010094
Ejecución 483;0.0010016
Ejecución 484;0.0009992
Ejecución 485;0.0010009
Ejecución 486;0.0009996
Ejecución 487;0.0009988
Ejecución 488;0.0009998
Ejecución 489;0.0010001
Ejecución 490;0.0009999
Ejecución 491;0.0013160
Ejecución 492;0.0010136
Ejecución 493;0.0010149
Ejecución 494;0.0010000
Ejecución 495;0.0010001
Ejecución 496;0.0009995
Ejecución 497;0.0010001
Ejecución 498;0.0009998
Ejecución 499;0.0010001
Ejecución 500;0.0010000
Ejecución 501;0.0010102
Ejecución 502;0.0010007
Ejecución 503;0.0010000
Ejecución 504;0.0010012
Ejecución 505;0.0010002
Ejecución 506;0.0010000
Ejecución 507;0.0009995
Ejecución 508;0.0010000
Ejecución 509;0.0013028
Ejecución 510;0.0010105
Ejecución 511;0.0010000
Ejecución 512;0.0010077
Ejecución 513;0.0010366
Ejecución 514;0.0010004
Ejecución 515;0.0010436
Ejecución 516;0.0010497
Ejecución 517;0.0010597
Ejecución 518;0.0009788
Ejecución 519;0.0009085
Ejecución 520;0.0010362
Ejecución 521;0.0010253
Ejecución 522;0.0010333
Ejecución 523;0.0009993
Ejecución 524;0.0012999
Ejecución 525;0.0010064
Ejecución 526;0.0009995
Ejecución 527;0.0009999
Ejecución 528;0.0010413
Ejecución 529;0.0010483
Ejecución 530;0.0008748
Ejecución 531;0.0011137
Ejecución 532;0.0008985
Ejecución 533;0.0010001
Ejecución 534;0.0010371
Ejecución 535;0.0010107
Ejecución 536;0.0010714
Ejecución 537;0.0009754
Ejecución 538;0.0009909
Ejecución 539;0.0009184
Ejecución 540;0.0009840
Ejecución 541;0.0010861
Ejecución 542;0.0009551
Ejecución 543;0.0009990
Ejecución 544;0.0009033
Ejecución 545;0.0010842
Ejecución 546;0.0010075
Ejecución 547;0.0009918
Ejecución 548;0.0009124
Ejecución 549;0.0010156
Ejecución 550;0.0008921
Ejecución 551;0.0010014
Ejecución 552;0.0010118
Ejecución 553;0.0009996
Ejecución 554;0.0009961
Ejecución 555;0.0010834
Ejecución 556;0.0010001
Ejecución 557;0.0010933
Ejecución 558;0.0010097
Ejecución 559;0.0009853
Ejecución 560;0.0009977
Ejecución 561;0.0010137
Ejecución 562;0.0009941
Ejecución 563;0.0009978
Ejecución 564;0.0009979
Ejecución 565;0.0016027
Ejecución 566;0.0010311
Ejecución 567;0.0010302
Ejecución 568;0.0010200
Ejecución 569;0.0015290
Ejecución 570;0.0010630
Ejecución 571;0.0010484
Ejecución 572;0.0009893
Ejecución 573;0.0011797
Ejecución 574;0.0010890
Ejecución 575;0.0010210
Ejecución 576;0.0009962
Ejecución 577;0.0009836
