Algoritmo;Merge_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.21124s
Tiempo promedio;0.00121124s
Tiempos individuales (s):
Ejecución 1;0.0017265
Ejecución 2;0.0016657
Ejecución 3;0.0016384
Ejecución 4;0.0016483
Ejecución 5;0.001763
Ejecución 6;0.0017369
Ejecución 7;0.0019459
Ejecución 8;0.0015322
Ejecución 9;0.0013974
Ejecución 10;0.0013913
Ejecución 11;0.0013799
Ejecución 12;0.0013454
Ejecución 13;0.0013112
Ejecución 14;0.0013073
Ejecución 15;0.0012992
Ejecución 16;0.0013005
Ejecución 17;0.0012976
Ejecución 18;0.0012844
Ejecución 19;0.0012832
Ejecución 20;0.0013083
Ejecución 21;0.0013054
Ejecución 22;0.0012761
Ejecución 23;0.001282
Ejecución 24;0.0012828
Ejecución 25;0.001282
Ejecución 26;0.0012763
Ejecución 27;0.0012403
Ejecución 28;0.0012451
Ejecución 29;0.0012459
Ejecución 30;0.0012573
Ejecución 31;0.0012802
Ejecución 32;0.0012524
Ejecución 33;0.0012494
Ejecución 34;0.0012556
Ejecución 35;0.0012458
Ejecución 36;0.001248
Ejecución 37;0.0012373
Ejecución 38;0.0012485
Ejecución 39;0.0012988
Ejecución 40;0.0012391
Ejecución 41;0.0012358
Ejecución 42;0.0012287
Ejecución 43;0.0012291
Ejecución 44;0.0012343
Ejecución 45;0.0012352
Ejecución 46;0.0012348
Ejecución 47;0.0012273
Ejecución 48;0.0012274
Ejecución 49;0.0012331
Ejecución 50;0.0012342
Ejecución 51;0.0012367
Ejecución 52;0.0012291
Ejecución 53;0.0012293
Ejecución 54;0.0012366
Ejecución 55;0.0012345
Ejecución 56;0.0012374
Ejecución 57;0.0012413
Ejecución 58;0.0012298
Ejecución 59;0.0012369
Ejecución 60;0.0012362
Ejecución 61;0.001236
Ejecución 62;0.0012284
Ejecución 63;0.0012271
Ejecución 64;0.0012391
Ejecución 65;0.0012296
Ejecución 66;0.0012291
Ejecución 67;0.0012212
Ejecución 68;0.0012231
Ejecución 69;0.0012281
Ejecución 70;0.001241
Ejecución 71;0.0012296
Ejecución 72;0.0012223
Ejecución 73;0.0012218
Ejecución 74;0.0012275
Ejecución 75;0.0012285
Ejecución 76;0.0012292
Ejecución 77;0.0012219
Ejecución 78;0.0012218
Ejecución 79;0.0012286
Ejecución 80;0.0012769
Ejecución 81;0.0012318
Ejecución 82;0.0012311
Ejecución 83;0.001225
Ejecución 84;0.0012299
Ejecución 85;0.0012366
Ejecución 86;0.0012375
Ejecución 87;0.0012304
Ejecución 88;0.0012213
Ejecución 89;0.0012406
Ejecución 90;0.0012368
Ejecución 91;0.001237
Ejecución 92;0.0012299
Ejecución 93;0.001223
Ejecución 94;0.0012506
Ejecución 95;0.001238
Ejecución 96;0.0012301
Ejecución 97;0.0012261
Ejecución 98;0.0011897
Ejecución 99;0.001175
Ejecución 100;0.001165
Ejecución 101;0.0011576
Ejecución 102;0.0011571
Ejecución 103;0.0011638
Ejecución 104;0.001164
Ejecución 105;0.0011574
Ejecución 106;0.0011569
Ejecución 107;0.0011629
Ejecución 108;0.0011636
Ejecución 109;0.0011559
Ejecución 110;0.0011846
Ejecución 111;0.0011635
Ejecución 112;0.0011749
Ejecución 113;0.0011584
Ejecución 114;0.0011573
Ejecución 115;0.001163
Ejecución 116;0.0011959
Ejecución 117;0.0011882
Ejecución 118;0.0011892
Ejecución 119;0.0011941
Ejecución 120;0.0012299
Ejecución 121;0.0012179
Ejecución 122;0.0012239
Ejecución 123;0.0012227
Ejecución 124;0.0012294
Ejecución 125;0.0012371
Ejecución 126;0.0012366
Ejecución 127;0.0012301
Ejecución 128;0.0012367
Ejecución 129;0.0012267
Ejecución 130;0.001262
Ejecución 131;0.0012351
Ejecución 132;0.0012263
Ejecución 133;0.0012171
Ejecución 134;0.0012251
Ejecución 135;0.001233
Ejecución 136;0.001234
Ejecución 137;0.0012259
Ejecución 138;0.001218
Ejecución 139;0.0012244
Ejecución 140;0.0012512
Ejecución 141;0.0012339
Ejecución 142;0.0012179
Ejecución 143;0.0012175
Ejecución 144;0.0012249
Ejecución 145;0.0012333
Ejecución 146;0.0012242
Ejecución 147;0.0012175
Ejecución 148;0.0012173
Ejecución 149;0.001224
Ejecución 150;0.0012091
Ejecución 151;0.0011913
Ejecución 152;0.0011633
Ejecución 153;0.0011604
Ejecución 154;0.0011589
Ejecución 155;0.0011606
Ejecución 156;0.0011527
Ejecución 157;0.0011584
Ejecución 158;0.0011572
Ejecución 159;0.001159
Ejecución 160;0.0011478
Ejecución 161;0.0012039
Ejecución 162;0.0011542
Ejecución 163;0.0011544
Ejecución 164;0.0011582
Ejecución 165;0.0011749
Ejecución 166;0.0011507
Ejecución 167;0.0011537
Ejecución 168;0.0011597
Ejecución 169;0.00116
Ejecución 170;0.0011801
Ejecución 171;0.0011731
Ejecución 172;0.0012108
Ejecución 173;0.0012365
Ejecución 174;0.0012363
Ejecución 175;0.0012298
Ejecución 176;0.0012306
Ejecución 177;0.001228
Ejecución 178;0.001224
Ejecución 179;0.0012257
Ejecución 180;0.0012177
Ejecución 181;0.0012275
Ejecución 182;0.0012335
Ejecución 183;0.0012309
Ejecución 184;0.0012244
Ejecución 185;0.0012176
Ejecución 186;0.0012266
Ejecución 187;0.0012336
Ejecución 188;0.0012324
Ejecución 189;0.0012234
Ejecución 190;0.0012489
Ejecución 191;0.0012738
Ejecución 192;0.0012348
Ejecución 193;0.001231
Ejecución 194;0.0012228
Ejecución 195;0.0012345
Ejecución 196;0.001228
Ejecución 197;0.0012342
Ejecución 198;0.0012318
Ejecución 199;0.0012262
Ejecución 200;0.0012449
Ejecución 201;0.0012264
Ejecución 202;0.0012247
Ejecución 203;0.001225
Ejecución 204;0.0012165
Ejecución 205;0.0012266
Ejecución 206;0.001233
Ejecución 207;0.0012329
Ejecución 208;0.0012247
Ejecución 209;0.0012173
Ejecución 210;0.0012645
Ejecución 211;0.0012267
Ejecución 212;0.0012176
Ejecución 213;0.0012168
Ejecución 214;0.0012236
Ejecución 215;0.0012277
Ejecución 216;0.0011842
Ejecución 217;0.0011605
Ejecución 218;0.0011595
Ejecución 219;0.0011595
Ejecución 220;0.001167
Ejecución 221;0.0011528
Ejecución 222;0.0011753
Ejecución 223;0.0011921
Ejecución 224;0.0012024
Ejecución 225;0.0011538
Ejecución 226;0.0011593
Ejecución 227;0.0011593
Ejecución 228;0.0016169
Ejecución 229;0.0011592
Ejecución 230;0.0011535
Ejecución 231;0.0011724
Ejecución 232;0.001161
Ejecución 233;0.0011703
Ejecución 234;0.0011536
Ejecución 235;0.0011692
Ejecución 236;0.0011621
Ejecución 237;0.0011698
Ejecución 238;0.0011544
Ejecución 239;0.0011587
Ejecución 240;0.0011599
Ejecución 241;0.0011793
Ejecución 242;0.0011874
Ejecución 243;0.0011921
Ejecución 244;0.0011912
Ejecución 245;0.0011843
Ejecución 246;0.0011853
Ejecución 247;0.0011851
Ejecución 248;0.0012072
Ejecución 249;0.0011917
Ejecución 250;0.0011985
Ejecución 251;0.0011534
Ejecución 252;0.0011717
Ejecución 253;0.0011596
Ejecución 254;0.0012042
Ejecución 255;0.0011855
Ejecución 256;0.0012147
Ejecución 257;0.0011942
Ejecución 258;0.0011859
Ejecución 259;0.0011834
Ejecución 260;0.0011832
Ejecución 261;0.0011896
Ejecución 262;0.0012255
Ejecución 263;0.0011919
Ejecución 264;0.0011911
Ejecución 265;0.0011844
Ejecución 266;0.0011795
Ejecución 267;0.0011905
Ejecución 268;0.0012076
Ejecución 269;0.0011838
Ejecución 270;0.0011828
Ejecución 271;0.0011927
Ejecución 272;0.001193
Ejecución 273;0.0011839
Ejecución 274;0.0011837
Ejecución 275;0.0011894
Ejecución 276;0.0011984
Ejecución 277;0.0011899
Ejecución 278;0.0011834
Ejecución 279;0.0011776
Ejecución 280;0.0011906
Ejecución 281;0.0011895
Ejecución 282;0.0011864
Ejecución 283;0.0052289
Ejecución 284;0.0012021
Ejecución 285;0.0012124
Ejecución 286;0.0011533
Ejecución 287;0.0011728
Ejecución 288;0.0011942
Ejecución 289;0.0011677
Ejecución 290;0.0011637
Ejecución 291;0.0011901
Ejecución 292;0.0012064
Ejecución 293;0.001193
Ejecución 294;0.0011931
Ejecución 295;0.0011829
Ejecución 296;0.0011905
Ejecución 297;0.001189
Ejecución 298;0.0012151
Ejecución 299;0.0011843
Ejecución 300;0.0043936
Ejecución 301;0.0011048
Ejecución 302;0.0011627
Ejecución 303;0.0012086
Ejecución 304;0.0011912
Ejecución 305;0.00117
Ejecución 306;0.0011824
Ejecución 307;0.0011906
Ejecución 308;0.0012165
Ejecución 309;0.0011598
Ejecución 310;0.0011875
Ejecución 311;0.0011919
Ejecución 312;0.0011908
Ejecución 313;0.0011904
Ejecución 314;0.0011836
Ejecución 315;0.0011837
Ejecución 316;0.0011914
Ejecución 317;0.0011905
Ejecución 318;0.0013268
Ejecución 319;0.0011846
Ejecución 320;0.0011832
Ejecución 321;0.0011928
Ejecución 322;0.0011909
Ejecución 323;0.0011845
Ejecución 324;0.0011853
Ejecución 325;0.0011592
Ejecución 326;0.0011911
Ejecución 327;0.0011877
Ejecución 328;0.001236
Ejecución 329;0.0011922
Ejecución 330;0.0011903
Ejecución 331;0.0011904
Ejecución 332;0.0011845
Ejecución 333;0.0011847
Ejecución 334;0.0011908
Ejecución 335;0.0011894
Ejecución 336;0.0011846
Ejecución 337;0.001184
Ejecución 338;0.001205
Ejecución 339;0.0011931
Ejecución 340;0.0011988
Ejecución 341;0.0011578
Ejecución 342;0.0011307
Ejecución 343;0.0011313
Ejecución 344;0.001123
Ejecución 345;0.0011232
Ejecución 346;0.001129
Ejecución 347;0.0011291
Ejecución 348;0.0011569
Ejecución 349;0.0011227
Ejecución 350;0.0011304
Ejecución 351;0.0011304
Ejecución 352;0.001123
Ejecución 353;0.0011247
Ejecución 354;0.0011298
Ejecución 355;0.001095
Ejecución 356;0.0010941
Ejecución 357;0.0011396
Ejecución 358;0.0011326
Ejecución 359;0.0011387
Ejecución 360;0.0011234
Ejecución 361;0.0011177
Ejecución 362;0.0011013
Ejecución 363;0.0010947
Ejecución 364;0.0011023
Ejecución 365;0.0011012
Ejecución 366;0.0010949
Ejecución 367;0.0010948
Ejecución 368;0.0011007
Ejecución 369;0.0011003
Ejecución 370;0.0010949
Ejecución 371;0.001102
Ejecución 372;0.0011019
Ejecución 373;0.0010951
Ejecución 374;0.0010943
Ejecución 375;0.0011018
Ejecución 376;0.0011009
Ejecución 377;0.0010948
Ejecución 378;0.0011
Ejecución 379;0.0011003
Ejecución 380;0.0010945
Ejecución 381;0.0010938
Ejecución 382;0.0011306
Ejecución 383;0.0011009
Ejecución 384;0.0010952
Ejecución 385;0.001101
Ejecución 386;0.0011023
Ejecución 387;0.0010949
Ejecución 388;0.0010957
Ejecución 389;0.0011072
Ejecución 390;0.0011
Ejecución 391;0.0010948
Ejecución 392;0.0011
Ejecución 393;0.0011203
Ejecución 394;0.0010945
Ejecución 395;0.001095
Ejecución 396;0.0011054
Ejecución 397;0.0011079
Ejecución 398;0.0010942
Ejecución 399;0.0011007
Ejecución 400;0.001108
Ejecución 401;0.0011023
Ejecución 402;0.0010951
Ejecución 403;0.0011152
Ejecución 404;0.001455
Ejecución 405;0.0011074
Ejecución 406;0.001096
Ejecución 407;0.001102
Ejecución 408;0.0011105
Ejecución 409;0.0011015
Ejecución 410;0.0011017
Ejecución 411;0.0011092
Ejecución 412;0.0010948
Ejecución 413;0.0010949
Ejecución 414;0.0011009
Ejecución 415;0.001124
Ejecución 416;0.0011673
