Algoritmo;Merge_Sort
Tamaño;500000
Orden;desc
Repeticiones;100
Máquina;Vale
Tiempo total;13.2594s
Tiempo promedio;0.132594s
Tiempos individuales (s):
Ejecución 1;0.157584
Ejecución 2;0.152788
Ejecución 3;0.166227
Ejecución 4;0.144122
Ejecución 5;0.148308
Ejecución 6;0.151768
Ejecución 7;0.135277
Ejecución 8;0.154916
Ejecución 9;0.133348
Ejecución 10;0.139216
Ejecución 11;0.133738
Ejecución 12;0.137969
Ejecución 13;0.130539
Ejecución 14;0.139942
Ejecución 15;0.130076
Ejecución 16;0.129748
Ejecución 17;0.132769
Ejecución 18;0.130403
Ejecución 19;0.137371
Ejecución 20;0.134379
Ejecución 21;0.130201
Ejecución 22;0.128975
Ejecución 23;0.127914
Ejecución 24;0.133857
Ejecución 25;0.131863
Ejecución 26;0.129764
Ejecución 27;0.141827
Ejecución 28;0.130101
Ejecución 29;0.127551
Ejecución 30;0.127328
Ejecución 31;0.134731
Ejecución 32;0.134716
Ejecución 33;0.136419
Ejecución 34;0.127409
Ejecución 35;0.128668
Ejecución 36;0.1273
Ejecución 37;0.1412
Ejecución 38;0.129182
Ejecución 39;0.129283
Ejecución 40;0.136418
Ejecución 41;0.126435
Ejecución 42;0.127698
Ejecución 43;0.13343
Ejecución 44;0.128319
Ejecución 45;0.128306
Ejecución 46;0.128937
Ejecución 47;0.129829
Ejecución 48;0.126455
Ejecución 49;0.12722
Ejecución 50;0.128311
Ejecución 51;0.128183
Ejecución 52;0.128476
Ejecución 53;0.140425
Ejecución 54;0.129981
Ejecución 55;0.128167
Ejecución 56;0.129161
Ejecución 57;0.130374
Ejecución 58;0.130274
Ejecución 59;0.132435
Ejecución 60;0.129863
Ejecución 61;0.126694
Ejecución 62;0.126734
Ejecución 63;0.133848
Ejecución 64;0.125964
Ejecución 65;0.133402
Ejecución 66;0.136998
Ejecución 67;0.126785
Ejecución 68;0.127371
Ejecución 69;0.128229
Ejecución 70;0.132311
Ejecución 71;0.128156
Ejecución 72;0.127941
Ejecución 73;0.134796
Ejecución 74;0.128132
Ejecución 75;0.127664
Ejecución 76;0.138704
Ejecución 77;0.12709
Ejecución 78;0.128302
Ejecución 79;0.140652
Ejecución 80;0.131374
Ejecución 81;0.127873
Ejecución 82;0.128985
Ejecución 83;0.129199
Ejecución 84;0.129732
Ejecución 85;0.129331
Ejecución 86;0.133939
Ejecución 87;0.128447
Ejecución 88;0.126733
Ejecución 89;0.12962
Ejecución 90;0.126773
Ejecución 91;0.128046
Ejecución 92;0.12635
Ejecución 93;0.131927
Ejecución 94;0.12829
Ejecución 95;0.127446
Ejecución 96;0.126491
Ejecución 97;0.126198
Ejecución 98;0.134547
Ejecución 99;0.133175
Ejecución 100;0.147646
