Algoritmo;Quick_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;24.38s
Tiempo promedio;0.02438s
Tiempos individuales (s):
Ejecución 224;0.0240034
Ejecución 225;0.0240376
Ejecución 226;0.0240111
Ejecución 227;0.0239973
Ejecución 228;0.027009
Ejecución 229;0.0250039
Ejecución 230;0.0240025
Ejecución 231;0.0235952
Ejecución 232;0.0230129
Ejecución 233;0.0230124
Ejecución 234;0.0240171
Ejecución 235;0.0240018
Ejecución 236;0.0240013
Ejecución 237;0.0240031
Ejecución 238;0.023992
Ejecución 239;0.0240158
Ejecución 240;0.0239991
Ejecución 241;0.0240024
Ejecución 242;0.0240044
Ejecución 243;0.023997
Ejecución 244;0.0240038
Ejecución 245;0.0254632
Ejecución 246;0.0250036
Ejecución 247;0.0250034
Ejecución 248;0.0250464
Ejecución 249;0.0240077
Ejecución 250;0.0250036
Ejecución 251;0.0240019
Ejecución 252;0.0249916
Ejecución 253;0.0250147
Ejecución 254;0.0236015
Ejecución 255;0.0249586
Ejecución 256;0.0260034
Ejecución 257;0.0240032
Ejecución 258;0.024002
Ejecución 259;0.0250035
Ejecución 260;0.024003
Ejecución 261;0.0240525
Ejecución 262;0.0239998
Ejecución 263;0.0240101
Ejecución 264;0.0240034
Ejecución 265;0.0240034
Ejecución 266;0.0240052
Ejecución 267;0.0240029
Ejecución 268;0.0240039
Ejecución 269;0.0269973
Ejecución 270;0.0260081
Ejecución 271;0.0240076
Ejecución 272;0.024
Ejecución 273;0.0230192
Ejecución 274;0.0230139
Ejecución 275;0.0240123
Ejecución 276;0.0239921
Ejecución 277;0.0240033
Ejecución 278;0.0235951
Ejecución 279;0.0230137
Ejecución 280;0.0230184
Ejecución 281;0.0240039
Ejecución 282;0.0240005
Ejecución 283;0.024004
Ejecución 284;0.0240025
Ejecución 285;0.0240048
Ejecución 286;0.0230123
Ejecución 287;0.0236213
Ejecución 288;0.0239999
Ejecución 289;0.024003
Ejecución 290;0.0240057
Ejecución 291;0.0240032
Ejecución 292;0.0230161
Ejecución 293;0.0230111
Ejecución 294;0.0240105
Ejecución 295;0.0250048
Ejecución 296;0.0240042
Ejecución 297;0.023003
Ejecución 298;0.024005
Ejecución 299;0.0240132
Ejecución 300;0.0239924
Ejecución 301;0.023001
Ejecución 302;0.0240151
Ejecución 303;0.024003
Ejecución 304;0.0240038
Ejecución 305;0.024003
Ejecución 306;0.0240041
Ejecución 307;0.0240007
Ejecución 308;0.0230028
Ejecución 309;0.0239999
Ejecución 310;0.0240166
Ejecución 311;0.0269969
Ejecución 312;0.0260124
Ejecución 313;0.0240028
Ejecución 314;0.0281777
Ejecución 315;0.0240031
Ejecución 316;0.0240041
Ejecución 317;0.0240025
Ejecución 318;0.0230181
Ejecución 319;0.0230131
Ejecución 320;0.0229667
Ejecución 321;0.0240486
Ejecución 322;0.0240032
Ejecución 323;0.0235833
Ejecución 324;0.0240149
Ejecución 325;0.0240006
Ejecución 326;0.0239928
Ejecución 327;0.0230135
Ejecución 328;0.0240139
Ejecución 329;0.0240036
Ejecución 330;0.0240032
Ejecución 331;0.0240033
Ejecución 332;0.0240073
Ejecución 333;0.0230131
Ejecución 334;0.0242737
Ejecución 335;0.0230128
Ejecución 336;0.0239991
Ejecución 337;0.025014
Ejecución 338;0.024006
Ejecución 339;0.0239919
Ejecución 340;0.0240019
Ejecución 341;0.0240181
Ejecución 342;0.0236012
Ejecución 343;0.0240038
Ejecución 344;0.0240079
Ejecución 345;0.0239989
Ejecución 346;0.0240029
Ejecución 347;0.0240139
Ejecución 348;0.0240036
Ejecución 349;0.0240085
Ejecución 350;0.0239996
Ejecución 351;0.0239908
Ejecución 352;0.0250088
Ejecución 353;0.0260087
Ejecución 354;0.0250156
Ejecución 355;0.0240001
Ejecución 356;0.0240034
Ejecución 357;0.0240034
Ejecución 358;0.0239603
Ejecución 359;0.0240357
Ejecución 360;0.0240137
Ejecución 361;0.0240051
Ejecución 362;0.0240029
Ejecución 363;0.0240127
Ejecución 364;0.0240033
Ejecución 365;0.0240031
Ejecución 366;0.0240172
Ejecución 367;0.024003
Ejecución 368;0.024004
Ejecución 369;0.0240003
Ejecución 370;0.0239594
Ejecución 371;0.0240475
Ejecución 372;0.0240035
Ejecución 373;0.0240031
Ejecución 374;0.024003
Ejecución 375;0.0240078
Ejecución 376;0.0240005
Ejecución 377;0.0240022
Ejecución 378;0.0240109
Ejecución 379;0.0249922
Ejecución 380;0.0240043
Ejecución 381;0.0240153
Ejecución 382;0.0240027
Ejecución 383;0.0240031
Ejecución 384;0.0240028
Ejecución 385;0.0230138
Ejecución 386;0.0230104
Ejecución 387;0.0240057
Ejecución 388;0.0240029
Ejecución 389;0.0240039
Ejecución 390;0.0236053
Ejecución 391;0.0230136
Ejecución 392;0.0240147
Ejecución 393;0.0240036
Ejecución 394;0.0239946
Ejecución 395;0.027009
Ejecución 396;0.0240127
Ejecución 397;0.0250094
Ejecución 398;0.0240126
Ejecución 399;0.0235893
Ejecución 400;0.0242168
Ejecución 401;0.0240029
Ejecución 402;0.0240193
Ejecución 403;0.023998
Ejecución 404;0.0240137
Ejecución 405;0.0240036
Ejecución 406;0.0240032
Ejecución 407;0.0240035
Ejecución 408;0.0250032
Ejecución 409;0.0235935
Ejecución 410;0.0230089
Ejecución 411;0.0230055
Ejecución 412;0.0240033
Ejecución 413;0.0240036
Ejecución 414;0.0240029
Ejecución 415;0.0240031
Ejecución 416;0.0240049
Ejecución 417;0.0240029
Ejecución 418;0.0230151
Ejecución 419;0.0230128
Ejecución 420;0.0240054
Ejecución 421;0.0230124
Ejecución 422;0.0238444
Ejecución 423;0.0240029
Ejecución 424;0.0250038
Ejecución 425;0.0240002
Ejecución 426;0.0250034
Ejecución 427;0.0240036
Ejecución 428;0.0240032
Ejecución 429;0.0240036
Ejecución 430;0.0240028
Ejecución 431;0.0240046
Ejecución 432;0.0240129
Ejecución 433;0.0320044
Ejecución 434;0.0240078
Ejecución 435;0.0239544
Ejecución 436;0.0270015
Ejecución 437;0.0260016
Ejecución 438;0.0250041
Ejecución 439;0.0260047
Ejecución 440;0.024002
Ejecución 441;0.0240038
Ejecución 442;0.0240031
Ejecución 443;0.0250009
Ejecución 444;0.0240033
Ejecución 445;0.027123
Ejecución 446;0.0240358
Ejecución 447;0.0240147
Ejecución 448;0.023013
Ejecución 449;0.0239971
Ejecución 450;0.0239935
Ejecución 451;0.0240136
Ejecución 452;0.0239939
Ejecución 453;0.0240005
Ejecución 454;0.0240033
Ejecución 455;0.0240032
Ejecución 456;0.0240102
Ejecución 457;0.0240045
Ejecución 458;0.0240022
Ejecución 459;0.0240048
Ejecución 460;0.0240017
Ejecución 461;0.0256035
Ejecución 462;0.0239935
Ejecución 463;0.0230109
Ejecución 464;0.0240088
Ejecución 465;0.0240017
Ejecución 466;0.025008
Ejecución 467;0.0240055
Ejecución 468;0.0239988
Ejecución 469;0.0240035
Ejecución 470;0.0240036
Ejecución 471;0.024003
Ejecución 472;0.0240044
Ejecución 473;0.0240038
Ejecución 474;0.0230146
Ejecución 475;0.0230022
Ejecución 476;0.0230138
Ejecución 477;0.026006
Ejecución 478;0.0250108
Ejecución 479;0.0240106
Ejecución 480;0.0240045
Ejecución 481;0.0240022
Ejecución 482;0.0239602
Ejecución 483;0.0240499
Ejecución 484;0.0239892
Ejecución 485;0.0230136
Ejecución 486;0.0230113
Ejecución 487;0.0240044
Ejecución 488;0.0240025
Ejecución 489;0.0240032
Ejecución 490;0.0240052
Ejecución 491;0.024003
Ejecución 492;0.0240041
Ejecución 493;0.0230124
Ejecución 494;0.0230129
Ejecución 495;0.0240109
Ejecución 496;0.0240042
Ejecución 497;0.024003
Ejecución 498;0.0240069
Ejecución 499;0.024003
Ejecución 500;0.0239572
Ejecución 501;0.0241701
Ejecución 502;0.0240038
Ejecución 503;0.0250071
Ejecución 504;0.0240028
Ejecución 505;0.0240019
Ejecución 506;0.0240032
Ejecución 507;0.0250037
Ejecución 508;0.0240039
Ejecución 509;0.024003
Ejecución 510;0.0236152
Ejecución 511;0.0250002
Ejecución 512;0.023969
Ejecución 513;0.0250009
Ejecución 514;0.0250019
Ejecución 515;0.0250038
Ejecución 516;0.0240032
Ejecución 517;0.0240055
Ejecución 518;0.0240034
Ejecución 519;0.0305203
Ejecución 520;0.0250014
Ejecución 521;0.0240041
Ejecución 522;0.0230012
Ejecución 523;0.0240027
Ejecución 524;0.0240031
Ejecución 525;0.0250045
Ejecución 526;0.0240028
Ejecución 527;0.0240034
Ejecución 528;0.0245158
Ejecución 529;0.024001
Ejecución 530;0.0240038
Ejecución 531;0.0240041
Ejecución 532;0.0240033
Ejecución 533;0.0240034
Ejecución 534;0.0240036
Ejecución 535;0.0240028
Ejecución 536;0.0240027
Ejecución 537;0.0240011
Ejecución 538;0.024003
Ejecución 539;0.0240032
Ejecución 540;0.0240034
Ejecución 541;0.0239995
Ejecución 542;0.0240025
Ejecución 543;0.0240058
Ejecución 544;0.0230018
Ejecución 545;0.0260011
Ejecución 546;0.0240037
Ejecución 547;0.025003
Ejecución 548;0.0240032
Ejecución 549;0.0250018
Ejecución 550;0.0240035
Ejecución 551;0.0240027
Ejecución 552;0.0229985
Ejecución 553;0.0240015
Ejecución 554;0.0280595
Ejecución 555;0.0240526
Ejecución 556;0.0240016
Ejecución 557;0.0240027
Ejecución 558;0.0240025
Ejecución 559;0.0240034
Ejecución 560;0.027044
Ejecución 561;0.0260089
Ejecución 562;0.0240021
Ejecución 563;0.0230136
Ejecución 564;0.0229971
Ejecución 565;0.0239585
Ejecución 566;0.0240521
Ejecución 567;0.0239992
Ejecución 568;0.0240033
Ejecución 569;0.0230138
Ejecución 570;0.0240138
Ejecución 571;0.0240087
Ejecución 572;0.0239988
Ejecución 573;0.0240045
Ejecución 574;0.0230025
Ejecución 575;0.0240158
Ejecución 576;0.0240038
Ejecución 577;0.0240008
Ejecución 578;0.0240038
Ejecución 579;0.0240037
Ejecución 580;0.0240033
Ejecución 581;0.0240035
Ejecución 582;0.0240171
Ejecución 583;0.0240031
Ejecución 584;0.024004
Ejecución 585;0.0239996
Ejecución 586;0.0239924
Ejecución 587;0.0240117
Ejecución 588;0.0240035
Ejecución 589;0.0240033
Ejecución 590;0.0239918
Ejecución 591;0.0240145
Ejecución 592;0.0240036
Ejecución 593;0.0240034
Ejecución 594;0.0230147
Ejecución 595;0.0230079
Ejecución 596;0.0230146
Ejecución 597;0.0230144
Ejecución 598;0.0240039
Ejecución 599;0.0239919
Ejecución 600;0.0240021
Ejecución 601;0.024012
Ejecución 602;0.0260129
Ejecución 603;0.0240094
Ejecución 604;0.0240033
Ejecución 605;0.0230139
Ejecución 606;0.0229655
Ejecución 607;0.0250468
Ejecución 608;0.0240132
Ejecución 609;0.024006
Ejecución 610;0.0239998
Ejecución 611;0.0240036
Ejecución 612;0.0241898
Ejecución 613;0.0240049
Ejecución 614;0.0240019
Ejecución 615;0.0240024
Ejecución 616;0.0230101
Ejecución 617;0.0239554
Ejecución 618;0.0240034
Ejecución 619;0.0240489
Ejecución 620;0.0250018
Ejecución 621;0.0246043
Ejecución 622;0.0240034
Ejecución 623;0.0230153
Ejecución 624;0.0240001
Ejecución 625;0.0240158
Ejecución 626;0.0240016
Ejecución 627;0.0240052
Ejecución 628;0.0240017
Ejecución 629;0.0250024
Ejecución 630;0.0240034
Ejecución 631;0.0240035
Ejecución 632;0.023994
Ejecución 633;0.0250156
Ejecución 634;0.0240007
Ejecución 635;0.0240035
Ejecución 636;0.0240029
Ejecución 637;0.0240035
Ejecución 638;0.0240034
Ejecución 639;0.0240041
Ejecución 640;0.024003
Ejecución 641;0.0230127
Ejecución 642;0.0230174
Ejecución 643;0.0260053
Ejecución 644;0.0260045
Ejecución 645;0.0240147
Ejecución 646;0.0240014
Ejecución 647;0.0240033
Ejecución 648;0.0239937
Ejecución 649;0.024013
Ejecución 650;0.0240033
Ejecución 651;0.0240034
Ejecución 652;0.0230124
Ejecución 653;0.0230126
Ejecución 654;0.0229681
Ejecución 655;0.0229926
Ejecución 656;0.0240025
Ejecución 657;0.024005
Ejecución 658;0.0240018
Ejecución 659;0.024005
Ejecución 660;0.0240018
Ejecución 661;0.0240035
Ejecución 662;0.0230108
Ejecución 663;0.0240105
Ejecución 664;0.0240033
Ejecución 665;0.0240065
Ejecución 666;0.0240017
Ejecución 667;0.0240045
Ejecución 668;0.0275394
Ejecución 669;0.0270065
Ejecución 670;0.024003
Ejecución 671;0.0240137
Ejecución 672;0.0240023
Ejecución 673;0.0239667
Ejecución 674;0.0240464
Ejecución 675;0.0230126
Ejecución 676;0.023967
Ejecución 677;0.0245163
Ejecución 678;0.0240029
Ejecución 679;0.0229985
Ejecución 680;0.0240022
Ejecución 681;0.024003
Ejecución 682;0.0240034
Ejecución 683;0.0240034
Ejecución 684;0.0230035
Ejecución 685;0.0270026
Ejecución 686;0.0260031
Ejecución 687;0.0240029
Ejecución 688;0.0240016
Ejecución 689;0.0240019
Ejecución 690;0.0240033
Ejecución 691;0.0240033
Ejecución 692;0.0240039
Ejecución 693;0.0230018
Ejecución 694;0.0240022
Ejecución 695;0.0240032
Ejecución 696;0.0240035
Ejecución 697;0.0240033
Ejecución 698;0.0240033
Ejecución 699;0.0240402
Ejecución 700;0.0230091
Ejecución 701;0.0230163
Ejecución 702;0.0230127
Ejecución 703;0.0240028
Ejecución 704;0.0240046
Ejecución 705;0.0240024
Ejecución 706;0.0240033
Ejecución 707;0.0240034
Ejecución 708;0.0230139
Ejecución 709;0.0230173
Ejecución 710;0.0230127
Ejecución 711;0.0239947
Ejecución 712;0.0240117
Ejecución 713;0.0240033
Ejecución 714;0.0240086
Ejecución 715;0.02397
Ejecución 716;0.0250325
Ejecución 717;0.0240028
Ejecución 718;0.024003
Ejecución 719;0.0240035
Ejecución 720;0.0240042
Ejecución 721;0.0240024
Ejecución 722;0.0240035
Ejecución 723;0.0240053
Ejecución 724;0.024135
Ejecución 725;0.0240121
Ejecución 726;0.0240031
Ejecución 727;0.0260118
Ejecución 728;0.0240062
Ejecución 729;0.0230141
Ejecución 730;0.0240003
Ejecución 731;0.0240152
Ejecución 732;0.0240039
Ejecución 733;0.0245878
Ejecución 734;0.024003
Ejecución 735;0.0240034
Ejecución 736;0.0240044
Ejecución 737;0.0240029
Ejecución 738;0.0240027
Ejecución 739;0.0240025
Ejecución 740;0.0240032
Ejecución 741;0.0240036
Ejecución 742;0.0230154
Ejecución 743;0.0240028
Ejecución 744;0.0239698
Ejecución 745;0.0240464
Ejecución 746;0.0240042
Ejecución 747;0.0280011
Ejecución 748;0.0240123
Ejecución 749;0.0239923
Ejecución 750;0.0250041
Ejecución 751;0.0240143
Ejecución 752;0.0230028
Ejecución 753;0.0249963
Ejecución 754;0.024001
Ejecución 755;0.0240074
Ejecución 756;0.0236028
Ejecución 757;0.0239981
Ejecución 758;0.0240088
Ejecución 759;0.0240142
Ejecución 760;0.0240077
Ejecución 761;0.0239987
Ejecución 762;0.0240037
Ejecución 763;0.0240031
Ejecución 764;0.0240034
Ejecución 765;0.0240034
Ejecución 766;0.0240046
Ejecución 767;0.0250038
Ejecución 768;0.0249999
Ejecución 769;0.0270038
Ejecución 770;0.0240093
Ejecución 771;0.0240102
Ejecución 772;0.0240036
Ejecución 773;0.0240042
Ejecución 774;0.0239992
Ejecución 775;0.0240067
Ejecución 776;0.0240039
Ejecución 777;0.024003
Ejecución 778;0.0240025
Ejecución 779;0.0240027
Ejecución 780;0.0261724
Ejecución 781;0.0239966
Ejecución 782;0.0240152
Ejecución 783;0.0239963
Ejecución 784;0.0240034
Ejecución 785;0.0240034
Ejecución 786;0.0230053
Ejecución 787;0.0230122
Ejecución 788;0.0239997
Ejecución 789;0.0236025
Ejecución 790;0.0230139
Ejecución 791;0.023017
Ejecución 792;0.0240038
Ejecución 793;0.024003
Ejecución 794;0.0239954
Ejecución 795;0.0240122
Ejecución 796;0.0239135
Ejecución 797;0.0230193
Ejecución 798;0.0230126
Ejecución 799;0.0240006
Ejecución 800;0.0230027
Ejecución 801;0.0230142
Ejecución 802;0.0240154
Ejecución 803;0.0260009
Ejecución 804;0.0240031
Ejecución 805;0.0235968
Ejecución 806;0.0239675
Ejecución 807;0.0240389
Ejecución 808;0.0240107
Ejecución 809;0.0240035
Ejecución 810;0.0260085
Ejecución 811;0.0260094
Ejecución 812;0.0260055
Ejecución 813;0.0250039
Ejecución 814;0.0240031
Ejecución 815;0.0240036
Ejecución 816;0.0240032
Ejecución 817;0.0240039
Ejecución 818;0.0240037
Ejecución 819;0.024014
Ejecución 820;0.024002
Ejecución 821;0.0240036
Ejecución 822;0.0240031
Ejecución 823;0.0286075
Ejecución 824;0.0260001
Ejecución 825;0.0250042
Ejecución 826;0.0240147
Ejecución 827;0.0240024
Ejecución 828;0.0240044
Ejecución 829;0.024002
Ejecución 830;0.0250029
Ejecución 831;0.0245566
Ejecución 832;0.0240035
Ejecución 833;0.0240033
Ejecución 834;0.0240084
Ejecución 835;0.0301553
Ejecución 836;0.0260117
Ejecución 837;0.0260058
Ejecución 838;0.024003
Ejecución 839;0.0240069
Ejecución 840;0.0240007
Ejecución 841;0.0240157
Ejecución 842;0.0230124
Ejecución 843;0.0240045
Ejecución 844;0.0239921
Ejecución 845;0.0240148
Ejecución 846;0.0240018
Ejecución 847;0.0240033
Ejecución 848;0.0230103
Ejecución 849;0.0240082
Ejecución 850;0.0240038
Ejecución 851;0.0269614
Ejecución 852;0.0260338
Ejecución 853;0.025477
Ejecución 854;0.0230012
Ejecución 855;0.0240031
Ejecución 856;0.0240033
Ejecución 857;0.0240035
Ejecución 858;0.023002
Ejecución 859;0.0240031
Ejecución 860;0.0240039
Ejecución 861;0.0240028
Ejecución 862;0.0240028
Ejecución 863;0.0240032
Ejecución 864;0.0240039
Ejecución 865;0.0250033
Ejecución 866;0.0240477
Ejecución 867;0.0240132
Ejecución 868;0.0240107
Ejecución 869;0.024014
Ejecución 870;0.0240016
Ejecución 871;0.0240049
Ejecución 872;0.0239929
Ejecución 873;0.0240141
Ejecución 874;0.0210021
Ejecución 875;0.0236479
Ejecución 876;0.0250082
Ejecución 877;0.0240006
Ejecución 878;0.0240012
Ejecución 879;0.0240032
Ejecución 880;0.0240129
Ejecución 881;0.0239617
Ejecución 882;0.0250035
Ejecución 883;0.0245298
Ejecución 884;0.024002
Ejecución 885;0.0240044
Ejecución 886;0.0240026
Ejecución 887;0.0265273
Ejecución 888;0.024003
Ejecución 889;0.024003
Ejecución 890;0.0249953
Ejecución 891;0.0240545
Ejecución 892;0.0260102
Ejecución 893;0.0270084
Ejecución 894;0.0260062
Ejecución 895;0.0240057
Ejecución 896;0.0240019
Ejecución 897;0.0240143
Ejecución 898;0.024002
Ejecución 899;0.0236186
Ejecución 900;0.0240046
Ejecución 901;0.0230128
Ejecución 902;0.0240035
Ejecución 903;0.0240067
Ejecución 904;0.024
Ejecución 905;0.0240036
Ejecución 906;0.0240032
Ejecución 907;0.0240034
