Algoritmo;Heap_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;2.40755s
Tiempo promedio;0.00240755s
Tiempos individuales (s):
Ejecución 1;0.0020326
Ejecución 2;0.0020002
Ejecución 3;0.0020025
Ejecución 4;0.0020002
Ejecución 5;0.0029656
Ejecución 6;0.0030043
Ejecución 7;0.0029993
Ejecución 8;0.0029982
Ejecución 9;0.0030043
Ejecución 10;0.0019927
Ejecución 11;0.0020016
Ejecución 12;0.0019999
Ejecución 13;0.0019974
Ejecución 14;0.0019626
Ejecución 15;0.0020437
Ejecución 16;0.002001
Ejecución 17;0.0019983
Ejecución 18;0.0020004
Ejecución 19;0.002995
Ejecución 20;0.0029667
Ejecución 21;0.0030376
Ejecución 22;0.0030012
Ejecución 23;0.0029998
Ejecución 24;0.0029998
Ejecución 25;0.0029621
Ejecución 26;0.0030012
Ejecución 27;0.0030396
Ejecución 28;0.0029987
Ejecución 29;0.0030041
Ejecución 30;0.0025424
Ejecución 31;0.0019661
Ejecución 32;0.0019616
Ejecución 33;0.0020015
Ejecución 34;0.0019983
Ejecución 35;0.0019989
Ejecución 36;0.0019505
Ejecución 37;0.0020411
Ejecución 38;0.0029998
Ejecución 39;0.0030004
Ejecución 40;0.0020035
Ejecución 41;0.0020015
Ejecución 42;0.0019622
Ejecución 43;0.0020008
Ejecución 44;0.0029998
Ejecución 45;0.0030002
Ejecución 46;0.003004
Ejecución 47;0.002998
Ejecución 48;0.003003
Ejecución 49;0.0019969
Ejecución 50;0.0020019
Ejecución 51;0.0029628
Ejecución 52;0.0020386
Ejecución 53;0.001999
Ejecución 54;0.0020407
Ejecución 55;0.0019998
Ejecución 56;0.0019961
Ejecución 57;0.0020036
Ejecución 58;0.002007
Ejecución 59;0.0020376
Ejecución 60;0.0019997
Ejecución 61;0.0020043
Ejecución 62;0.0020037
Ejecución 63;0.0020428
Ejecución 64;0.0020052
Ejecución 65;0.0020048
Ejecución 66;0.0019919
Ejecución 67;0.0020031
Ejecución 68;0.0019995
Ejecución 69;0.0020011
Ejecución 70;0.0020016
Ejecución 71;0.0030004
Ejecución 72;0.003001
Ejecución 73;0.0030028
Ejecución 74;0.0030025
Ejecución 75;0.0029953
Ejecución 76;0.0030043
Ejecución 77;0.0029984
Ejecución 78;0.0029606
Ejecución 79;0.0030401
Ejecución 80;0.0020007
Ejecución 81;0.0020023
Ejecución 82;0.0020067
Ejecución 83;0.0040001
Ejecución 84;0.0020016
Ejecución 85;0.0020017
Ejecución 86;0.0020055
Ejecución 87;0.0030002
Ejecución 88;0.0030014
Ejecución 89;0.0029988
Ejecución 90;0.0029954
Ejecución 91;0.0030048
Ejecución 92;0.003001
Ejecución 93;0.002001
Ejecución 94;0.0019997
Ejecución 95;0.0019987
Ejecución 96;0.0019916
Ejecución 97;0.0020048
Ejecución 98;0.0020052
Ejecución 99;0.0020006
Ejecución 100;0.0020039
Ejecución 101;0.0020043
Ejecución 102;0.0020057
Ejecución 103;0.0020038
Ejecución 104;0.0019995
Ejecución 105;0.0019639
Ejecución 106;0.0020317
Ejecución 107;0.0019997
Ejecución 108;0.001999
Ejecución 109;0.0020004
Ejecución 110;0.0019982
Ejecución 111;0.002004
Ejecución 112;0.0020043
Ejecución 113;0.002004
Ejecución 114;0.0020043
Ejecución 115;0.0020045
Ejecución 116;0.0020051
Ejecución 117;0.0020039
Ejecución 118;0.0020025
Ejecución 119;0.0020081
Ejecución 120;0.0029967
Ejecución 121;0.0029995
Ejecución 122;0.0030008
Ejecución 123;0.0030062
Ejecución 124;0.0029946
Ejecución 125;0.0020424
Ejecución 126;0.0020041
