Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.00119s
Tiempo promedio;0.00100119s
Tiempos individuales (s):
Ejecución 1;0.0010005
Ejecución 2;0.0009998
Ejecución 3;0.0010007
Ejecución 4;0.000999
Ejecución 5;0.001001
Ejecución 6;0.0010059
Ejecución 7;0.0009938
Ejecución 8;0.0010001
Ejecución 9;0.0009975
Ejecución 10;0.0010015
Ejecución 11;0.001002
Ejecución 12;0.0010029
Ejecución 13;0.0009967
Ejecución 14;0.0009998
Ejecución 15;0.0010011
Ejecución 16;0.0010021
Ejecución 17;0.0010021
Ejecución 18;0.0010019
Ejecución 19;0.0010008
Ejecución 20;0.0009983
Ejecución 21;0.0009995
Ejecución 22;0.0010008
Ejecución 23;0.0009997
Ejecución 24;0.0009993
Ejecución 25;0.0010006
Ejecución 26;0.0010002
Ejecución 27;0.0010009
Ejecución 28;0.0010034
Ejecución 29;0.0010009
Ejecución 30;0.0010014
Ejecución 31;0.0010012
Ejecución 32;0.0010007
Ejecución 33;0.0010014
Ejecución 34;0.0010004
Ejecución 35;0.0010004
Ejecución 36;0.0010157
Ejecución 37;0.0009842
Ejecución 38;0.0009976
Ejecución 39;0.0010014
Ejecución 40;0.0009995
Ejecución 41;0.0009993
Ejecución 42;0.0010029
Ejecución 43;0.0010015
Ejecución 44;0.0010011
Ejecución 45;0.0010055
Ejecución 46;0.000996
Ejecución 47;0.0009915
Ejecución 48;0.0009966
Ejecución 49;0.0010004
Ejecución 50;0.0010002
Ejecución 51;0.0010009
Ejecución 52;0.0010006
Ejecución 53;0.0010137
Ejecución 54;0.0009828
Ejecución 55;0.0009999
Ejecución 56;0.0009996
Ejecución 57;0.0010013
Ejecución 58;0.0010019
Ejecución 59;0.0010022
Ejecución 60;0.0010036
Ejecución 61;0.0009994
Ejecución 62;0.0010134
Ejecución 63;0.0010006
Ejecución 64;0.0009982
Ejecución 65;0.0010062
Ejecución 66;0.0009956
Ejecución 67;0.0009991
Ejecución 68;0.0010014
