Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 224;0.0009999
Ejecución 225;0.0009998
Ejecución 226;0.0009945
Ejecución 227;0.0009985
Ejecución 228;0.0019958
Ejecución 229;0.0020021
Ejecución 230;0.0020011
Ejecución 231;0.0020001
Ejecución 232;0.0020019
Ejecución 233;0.0009909
Ejecución 234;0.0009933
Ejecución 235;0.0009919
Ejecución 236;0.0009891
Ejecución 237;0.0010002
Ejecución 238;0.0010019
Ejecución 239;0.001
Ejecución 240;0.0009977
Ejecución 241;0.0009972
Ejecución 242;0.0009977
Ejecución 243;0.0009975
Ejecución 244;0.0009989
Ejecución 245;0.0010016
Ejecución 246;0.0020016
Ejecución 247;0.0019996
Ejecución 248;0.0020008
Ejecución 249;0.0020001
Ejecución 250;0.0020016
Ejecución 251;0.0020007
Ejecución 252;0.0009938
Ejecución 253;0.0009953
Ejecución 254;0.0009949
Ejecución 255;0.0009921
Ejecución 256;0.0009653
Ejecución 257;0.0009981
Ejecución 258;0.0009968
Ejecución 259;0.0010003
Ejecución 260;0.0009993
Ejecución 261;0.0010016
Ejecución 262;0.0019976
Ejecución 263;0.0020061
Ejecución 264;0.0019947
Ejecución 265;0.0020003
Ejecución 266;0.0020003
Ejecución 267;0.0020012
Ejecución 268;0.0020007
Ejecución 269;0.0020015
Ejecución 270;0.0019979
Ejecución 271;0.0020008
Ejecución 272;0.0020002
Ejecución 273;0.0019997
Ejecución 274;0.0020001
Ejecución 275;0.0020105
Ejecución 276;0.0019979
Ejecución 277;0.0020003
Ejecución 278;0.0009928
Ejecución 279;0.0009888
Ejecución 280;0.0009884
Ejecución 281;0.0009975
Ejecución 282;0.0010009
Ejecución 283;0.0009994
Ejecución 284;0.0009947
Ejecución 285;0.0009987
Ejecución 286;0.0009971
Ejecución 287;0.0010097
Ejecución 288;0.002001
Ejecución 289;0.0019976
Ejecución 290;0.0020041
Ejecución 291;0.0019968
Ejecución 292;0.0019995
Ejecución 293;0.0020003
Ejecución 294;0.0020006
Ejecución 295;0.002004
Ejecución 296;0.0019972
Ejecución 297;0.0020004
Ejecución 298;0.002
Ejecución 299;0.0009938
Ejecución 300;0.0009981
Ejecución 301;0.0009946
Ejecución 302;0.001006
Ejecución 303;0.0009986
Ejecución 304;0.0009996
Ejecución 305;0.000997
Ejecución 306;0.0009992
Ejecución 307;0.0020037
Ejecución 308;0.0019993
Ejecución 309;0.0020054
Ejecución 310;0.0019934
Ejecución 311;0.0019995
Ejecución 312;0.0020003
Ejecución 313;0.0020009
Ejecución 314;0.0020084
Ejecución 315;0.0020005
Ejecución 316;0.0020002
Ejecución 317;0.0009912
Ejecución 318;0.0009902
Ejecución 319;0.0010108
Ejecución 320;0.0010094
Ejecución 321;0.0010454
Ejecución 322;0.002001
Ejecución 323;0.0019962
Ejecución 324;0.0020012
Ejecución 325;0.0019995
Ejecución 326;0.0020005
Ejecución 327;0.0009914
Ejecución 328;0.0009917
