Algoritmo;Radix_Sort
Tamaño;500000
Orden;desc
Repeticiones;100
Máquina;Vale
Tiempo total;3.82543s
Tiempo promedio;0.0382543s
Tiempos individuales (s):
Ejecución 1;0.0410145
Ejecución 2;0.0400049
Ejecución 3;0.040002
Ejecución 4;0.0400043
Ejecución 5;0.040041
Ejecución 6;0.0420034
Ejecución 7;0.0399648
Ejecución 8;0.0400068
Ejecución 9;0.0400011
Ejecución 10;0.0419992
Ejecución 11;0.0420003
Ejecución 12;0.0400003
Ejecución 13;0.0400012
Ejecución 14;0.0399993
Ejecución 15;0.0415193
Ejecución 16;0.0399987
Ejecución 17;0.0399999
Ejecución 18;0.0400062
Ejecución 19;0.0390003
Ejecución 20;0.0389992
Ejecución 21;0.0400006
Ejecución 22;0.0389998
Ejecución 23;0.0389991
Ejecución 24;0.0389995
Ejecución 25;0.0399999
Ejecución 26;0.0399999
Ejecución 27;0.0390002
Ejecución 28;0.0379996
Ejecución 29;0.0390015
Ejecución 30;0.0379997
Ejecución 31;0.0369985
Ejecución 32;0.0380006
Ejecución 33;0.0419992
Ejecución 34;0.037
Ejecución 35;0.0379991
Ejecución 36;0.0390002
Ejecución 37;0.0379998
Ejecución 38;0.0369992
Ejecución 39;0.0370002
Ejecución 40;0.0370009
Ejecución 41;0.0399987
Ejecución 42;0.036999
Ejecución 43;0.0380001
Ejecución 44;0.0380011
Ejecución 45;0.037001
Ejecución 46;0.0359987
Ejecución 47;0.037
Ejecución 48;0.0370003
Ejecución 49;0.04
Ejecución 50;0.0369996
Ejecución 51;0.0370012
Ejecución 52;0.0369997
Ejecución 53;0.0380081
Ejecución 54;0.0355084
Ejecución 55;0.0370007
Ejecución 56;0.0360001
Ejecución 57;0.0395352
Ejecución 58;0.0380397
Ejecución 59;0.0389956
Ejecución 60;0.0390094
Ejecución 61;0.0380068
Ejecución 62;0.0380056
Ejecución 63;0.0390001
Ejecución 64;0.0380003
Ejecución 65;0.0370004
Ejecución 66;0.0360002
Ejecución 67;0.0359999
Ejecución 68;0.0400004
Ejecución 69;0.0370011
Ejecución 70;0.0370014
Ejecución 71;0.0369989
Ejecución 72;0.0385069
Ejecución 73;0.0390006
Ejecución 74;0.0370004
Ejecución 75;0.0370355
Ejecución 76;0.0370079
Ejecución 77;0.0370044
Ejecución 78;0.0370061
Ejecución 79;0.0360089
Ejecución 80;0.0360075
Ejecución 81;0.0400093
Ejecución 82;0.0370008
Ejecución 83;0.0370016
Ejecución 84;0.0370086
Ejecución 85;0.0380047
Ejecución 86;0.0360087
Ejecución 87;0.0360115
Ejecución 88;0.0370073
Ejecución 89;0.0400031
Ejecución 90;0.0420069
Ejecución 91;0.03701
Ejecución 92;0.0370086
Ejecución 93;0.0369653
Ejecución 94;0.0370001
Ejecución 95;0.0360001
Ejecución 96;0.0359993
Ejecución 97;0.0391319
Ejecución 98;0.0359994
Ejecución 99;0.0360001
Ejecución 100;0.0359999
