Algoritmo;Radix_Sort
Tamaño;5000000
Orden;desc
Repeticiones;20
Máquina;Vale
Tiempo total;8.14135s
Tiempo promedio;0.407068s
Tiempos individuales (s):
Ejecución 1;0.424273
Ejecución 2;0.423438
Ejecución 3;0.425762
Ejecución 4;0.414564
Ejecución 5;0.420628
Ejecución 6;0.406794
Ejecución 7;0.403503
Ejecución 8;0.413142
Ejecución 9;0.414205
Ejecución 10;0.407132
Ejecución 11;0.399112
Ejecución 12;0.393669
Ejecución 13;0.409091
Ejecución 14;0.391954
Ejecución 15;0.405572
Ejecución 16;0.400968
Ejecución 17;0.405138
Ejecución 18;0.394554
Ejecución 19;0.396787
Ejecución 20;0.391068
