Algoritmo;Quick_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;3.44227s
Tiempo promedio;0.00344227s
Tiempos individuales (s):
Ejecución 1;0.0040344
Ejecución 2;0.0039652
Ejecución 3;0.0340058
Ejecución 4;0.0049674
Ejecución 5;0.0059986
Ejecución 6;0.0060324
Ejecución 7;0.004003
Ejecución 8;0.0040011
Ejecución 9;0.0040002
Ejecución 10;0.0040004
Ejecución 11;0.0040005
Ejecución 12;0.0030032
Ejecución 13;0.0040046
Ejecución 14;0.0040012
Ejecución 15;0.0040001
Ejecución 16;0.0040006
Ejecución 17;0.0040001
Ejecución 18;0.0039643
Ejecución 19;0.0034244
Ejecución 20;0.0039998
Ejecución 21;0.0030395
Ejecución 22;0.0030027
Ejecución 23;0.0039644
Ejecución 24;0.0039998
Ejecución 25;0.0039997
Ejecución 26;0.0040016
Ejecución 27;0.0039996
Ejecución 28;0.0029663
Ejecución 29;0.0029658
Ejecución 30;0.0039612
Ejecución 31;0.0040006
Ejecución 32;0.0040382
Ejecución 33;0.0039633
Ejecución 34;0.00404
Ejecución 35;0.0030072
Ejecución 36;0.0039996
Ejecución 37;0.003004
Ejecución 38;0.0030047
Ejecución 39;0.0040078
Ejecución 40;0.0039967
Ejecución 41;0.0029983
Ejecución 42;0.0030101
Ejecución 43;0.0039988
Ejecución 44;0.0030007
Ejecución 45;0.0030079
Ejecución 46;0.0039999
Ejecución 47;0.0030029
Ejecución 48;0.0030084
Ejecución 49;0.0030015
Ejecución 50;0.0029941
Ejecución 51;0.0040018
Ejecución 52;0.002999
Ejecución 53;0.0030061
Ejecución 54;0.0039595
Ejecución 55;0.0030421
Ejecución 56;0.0030005
Ejecución 57;0.0040031
Ejecución 58;0.0029986
Ejecución 59;0.0029983
Ejecución 60;0.0039989
Ejecución 61;0.0030005
Ejecución 62;0.0030001
Ejecución 63;0.0049919
Ejecución 64;0.0040077
Ejecución 65;0.0039612
Ejecución 66;0.0040016
Ejecución 67;0.0040381
Ejecución 68;0.0040029
Ejecución 69;0.0029629
Ejecución 70;0.0030076
Ejecución 71;0.0030069
Ejecución 72;0.0039999
Ejecución 73;0.0030004
Ejecución 74;0.0030082
Ejecución 75;0.0040031
Ejecución 76;0.0029987
Ejecución 77;0.0030094
Ejecución 78;0.0030033
Ejecución 79;0.0029742
Ejecución 80;0.0040265
Ejecución 81;0.0030006
Ejecución 82;0.0030115
Ejecución 83;0.0039984
Ejecución 84;0.0030009
Ejecución 85;0.0030056
Ejecución 86;0.0040019
Ejecución 87;0.0030019
Ejecución 88;0.0039972
Ejecución 89;0.0030006
Ejecución 90;0.0030066
Ejecución 91;0.0040002
Ejecución 92;0.0030005
Ejecución 93;0.003008
Ejecución 94;0.0040031
Ejecución 95;0.0030034
Ejecución 96;0.0039955
Ejecución 97;0.0030034
Ejecución 98;0.0030084
Ejecución 99;0.0040003
Ejecución 100;0.0030009
Ejecución 101;0.006008
Ejecución 102;0.0040017
Ejecución 103;0.0039993
Ejecución 104;0.0030002
Ejecución 105;0.0030083
Ejecución 106;0.0040008
Ejecución 107;0.003
Ejecución 108;0.0040007
Ejecución 109;0.0030008
Ejecución 110;0.0030055
Ejecución 111;0.0040015
Ejecución 112;0.0029997
Ejecución 113;0.0030125
Ejecución 114;0.0039963
Ejecución 115;0.0030026
Ejecución 116;0.003998
Ejecución 117;0.0030011
Ejecución 118;0.0030082
Ejecución 119;0.0040017
Ejecución 120;0.0029992
Ejecución 121;0.0030078
Ejecución 122;0.0039611
Ejecución 123;0.0039995
Ejecución 124;0.0039998
Ejecución 125;0.0040012
Ejecución 126;0.0039992
Ejecución 127;0.0029981
Ejecución 128;0.0029982
Ejecución 129;0.0029997
Ejecución 130;0.0030001
Ejecución 131;0.0029983
Ejecución 132;0.0040007
Ejecución 133;0.0030004
Ejecución 134;0.0040004
Ejecución 135;0.005001
Ejecución 136;0.0050032
Ejecución 137;0.0039984
Ejecución 138;0.0039982
Ejecución 139;0.0040007
Ejecución 140;0.0040009
Ejecución 141;0.0040012
Ejecución 142;0.0029676
Ejecución 143;0.0030096
Ejecución 144;0.0030093
Ejecución 145;0.0040018
Ejecución 146;0.0029975
Ejecución 147;0.0029887
Ejecución 148;0.0039996
Ejecución 149;0.0040003
Ejecución 150;0.0030009
Ejecución 151;0.003006
Ejecución 152;0.0040051
Ejecución 153;0.002997
Ejecución 154;0.0030028
Ejecución 155;0.0039986
Ejecución 156;0.0040001
Ejecución 157;0.003
Ejecución 158;0.0030097
Ejecución 159;0.0039989
Ejecución 160;0.0030004
Ejecución 161;0.0030062
Ejecución 162;0.0039607
Ejecución 163;0.003039
Ejecución 164;0.0029941
Ejecución 165;0.0040023
Ejecución 166;0.0040037
Ejecución 167;0.0029959
Ejecución 168;0.0029663
Ejecución 169;0.0040449
Ejecución 170;0.0030002
Ejecución 171;0.0030086
Ejecución 172;0.0040007
Ejecución 173;0.0030003
Ejecución 174;0.0030065
Ejecución 175;0.0030024
Ejecución 176;0.0029948
Ejecución 177;0.0039594
Ejecución 178;0.0030427
Ejecución 179;0.0030079
Ejecución 180;0.0039992
Ejecución 181;0.0030001
Ejecución 182;0.0030036
Ejecución 183;0.0040015
Ejecución 184;0.0029996
Ejecución 185;0.0040043
Ejecución 186;0.0029962
Ejecución 187;0.0030097
Ejecución 188;0.0039993
Ejecución 189;0.0030003
Ejecución 190;0.0030079
Ejecución 191;0.0040007
Ejecución 192;0.0030001
Ejecución 193;0.0030064
Ejecución 194;0.0030026
Ejecución 195;0.0030005
Ejecución 196;0.0039952
Ejecución 197;0.0030063
Ejecución 198;0.0030055
Ejecución 199;0.0040001
Ejecución 200;0.0030013
Ejecución 201;0.0030033
Ejecución 202;0.0040054
Ejecución 203;0.0039987
Ejecución 204;0.003005
Ejecución 205;0.0030063
Ejecución 206;0.0029648
Ejecución 207;0.004003
Ejecución 208;0.0040026
Ejecución 209;0.0040013
Ejecución 210;0.0039979
Ejecución 211;0.0040011
Ejecución 212;0.0040043
Ejecución 213;0.003999
Ejecución 214;0.0039989
Ejecución 215;0.0040007
Ejecución 216;0.0040013
Ejecución 217;0.0040025
Ejecución 218;0.003003
Ejecución 219;0.0030088
Ejecución 220;0.004001
Ejecución 221;0.0029999
Ejecución 222;0.0040031
Ejecución 223;0.002998
Ejecución 224;0.0030092
Ejecución 225;0.0040025
Ejecución 226;0.0030016
Ejecución 227;0.0030066
Ejecución 228;0.0040007
Ejecución 229;0.0030004
Ejecución 230;0.0030056
Ejecución 231;0.0039947
Ejecución 232;0.0030009
Ejecución 233;0.0030095
Ejecución 234;0.0040005
Ejecución 235;0.0029986
Ejecución 236;0.0030115
Ejecución 237;0.0029988
Ejecución 238;0.0029995
Ejecución 239;0.003012
Ejecución 240;0.0039982
Ejecución 241;0.0030013
Ejecución 242;0.0039995
Ejecución 243;0.0030045
Ejecución 244;0.0030076
Ejecución 245;0.0040009
Ejecución 246;0.0030034
Ejecución 247;0.0029995
Ejecución 248;0.0030005
Ejecución 249;0.0029998
Ejecución 250;0.0040014
Ejecución 251;0.0030418
Ejecución 252;0.0030091
Ejecución 253;0.0040006
Ejecución 254;0.0030034
Ejecución 255;0.0030019
Ejecución 256;0.0030009
Ejecución 257;0.0029997
Ejecución 258;0.0039678
Ejecución 259;0.0040363
Ejecución 260;0.0039639
Ejecución 261;0.0040005
Ejecución 262;0.0029647
Ejecución 263;0.0029644
Ejecución 264;0.0030071
Ejecución 265;0.0030049
Ejecución 266;0.0030009
Ejecución 267;0.0040032
Ejecución 268;0.0039994
Ejecución 269;0.0040005
Ejecución 270;0.0039999
Ejecución 271;0.0040007
Ejecución 272;0.004001
Ejecución 273;0.0040021
Ejecución 274;0.0040003
Ejecución 275;0.0040014
Ejecución 276;0.0039983
Ejecución 277;0.0040042
Ejecución 278;0.0030006
Ejecución 279;0.0029533
Ejecución 280;0.0040434
Ejecución 281;0.0030041
Ejecución 282;0.003008
Ejecución 283;0.0040011
Ejecución 284;0.0030004
Ejecución 285;0.0030088
Ejecución 286;0.0040014
Ejecución 287;0.0030017
Ejecución 288;0.0030085
Ejecución 289;0.0030004
Ejecución 290;0.0029975
Ejecución 291;0.004001
Ejecución 292;0.0030005
Ejecución 293;0.0030064
Ejecución 294;0.0040002
Ejecución 295;0.0030006
Ejecución 296;0.0030092
Ejecución 297;0.0030003
Ejecución 298;0.0029991
Ejecución 299;0.0040004
Ejecución 300;0.0030038
Ejecución 301;0.0030101
Ejecución 302;0.0039996
Ejecución 303;0.0030007
Ejecución 304;0.0040032
Ejecución 305;0.0030018
Ejecución 306;0.0029883
Ejecución 307;0.00401
Ejecución 308;0.0030037
Ejecución 309;0.0030116
Ejecución 310;0.0039961
Ejecución 311;0.0030015
Ejecución 312;0.0030065
Ejecución 313;0.0030002
Ejecución 314;0.003007
Ejecución 315;0.0040022
Ejecución 316;0.0029982
Ejecución 317;0.0030086
Ejecución 318;0.0040011
Ejecución 319;0.0030021
Ejecución 320;0.003009
Ejecución 321;0.0030015
Ejecución 322;0.003002
Ejecución 323;0.0040012
Ejecución 324;0.0029983
Ejecución 325;0.0030143
Ejecución 326;0.0029966
Ejecución 327;0.0030119
Ejecución 328;0.0039981
Ejecución 329;0.003001
Ejecución 330;0.0040066
Ejecución 331;0.0029945
Ejecución 332;0.0030101
Ejecución 333;0.0040006
Ejecución 334;0.0030026
Ejecución 335;0.0039985
Ejecución 336;0.0030009
Ejecución 337;0.0030056
Ejecución 338;0.0030042
Ejecución 339;0.0029999
Ejecución 340;0.0039636
Ejecución 341;0.0030375
Ejecución 342;0.004001
Ejecución 343;0.0030062
Ejecución 344;0.0030079
Ejecución 345;0.0030005
Ejecución 346;0.0030017
Ejecución 347;0.0040012
Ejecución 348;0.0029997
Ejecución 349;0.0030135
Ejecución 350;0.0029967
Ejecución 351;0.0030062
Ejecución 352;0.0039984
Ejecución 353;0.0030009
Ejecución 354;0.0030091
Ejecución 355;0.0030014
Ejecución 356;0.0029958
Ejecución 357;0.004003
Ejecución 358;0.0029973
Ejecución 359;0.0040018
Ejecución 360;0.0029999
Ejecución 361;0.0029683
Ejecución 362;0.0040424
Ejecución 363;0.0030002
Ejecución 364;0.0040031
Ejecución 365;0.0029982
Ejecución 366;0.0029678
Ejecución 367;0.0030429
Ejecución 368;0.0030086
Ejecución 369;0.0040013
Ejecución 370;0.0030029
Ejecución 371;0.0030095
Ejecución 372;0.00399
Ejecución 373;0.0030104
Ejecución 374;0.003
Ejecución 375;0.0040089
Ejecución 376;0.0029923
Ejecución 377;0.0040019
Ejecución 378;0.002999
Ejecución 379;0.0030091
Ejecución 380;0.0030013
Ejecución 381;0.0030024
Ejecución 382;0.0039979
Ejecución 383;0.0030011
Ejecución 384;0.0030099
Ejecución 385;0.0040013
Ejecución 386;0.0029999
Ejecución 387;0.004004
Ejecución 388;0.0029971
Ejecución 389;0.0030111
Ejecución 390;0.004
Ejecución 391;0.0029998
Ejecución 392;0.0040004
Ejecución 393;0.0030004
Ejecución 394;0.0030098
Ejecución 395;0.0030012
Ejecución 396;0.0030021
Ejecución 397;0.003999
Ejecución 398;0.0040039
Ejecución 399;0.0039967
Ejecución 400;0.0030022
Ejecución 401;0.0040039
Ejecución 402;0.0039971
Ejecución 403;0.0029989
Ejecución 404;0.0040004
Ejecución 405;0.0030007
Ejecución 406;0.0030002
Ejecución 407;0.0040103
Ejecución 408;0.0030028
Ejecución 409;0.0030101
Ejecución 410;0.0039579
Ejecución 411;0.0029995
Ejecución 412;0.0040006
Ejecución 413;0.00404
Ejecución 414;0.004001
Ejecución 415;0.0040006
Ejecución 416;0.004001
