Algoritmo;Bucket_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.68377s
Tiempo promedio;0.00168377s
Tiempos individuales (s):
Ejecución 225;0.0020043
Ejecución 226;0.0019963
Ejecución 227;0.0020041
Ejecución 228;0.0019959
Ejecución 229;0.0020005
Ejecución 230;0.0020003
Ejecución 231;0.0020008
Ejecución 232;0.0020004
Ejecución 233;0.0009976
Ejecución 234;0.0010022
Ejecución 235;0.0010053
Ejecución 236;0.0020046
Ejecución 237;0.001996
Ejecución 238;0.0020042
Ejecución 239;0.0019929
Ejecución 240;0.0020001
Ejecución 241;0.002
Ejecución 242;0.0020003
Ejecución 243;0.0009995
Ejecución 244;0.0009661
Ejecución 245;0.0009918
Ejecución 246;0.0020009
Ejecución 247;0.0020035
Ejecución 248;0.0019965
Ejecución 249;0.0020037
Ejecución 250;0.0020004
Ejecución 251;0.0019977
Ejecución 252;0.0020011
Ejecución 253;0.0020001
Ejecución 254;0.0020003
Ejecución 255;0.0020059
Ejecución 256;0.0019959
Ejecución 257;0.0020057
Ejecución 258;0.0019936
Ejecución 259;0.0020002
Ejecución 260;0.0020005
Ejecución 261;0.0020005
Ejecución 262;0.0019631
Ejecución 263;0.0020286
Ejecución 264;0.0020126
Ejecución 265;0.001997
Ejecución 266;0.0009998
Ejecución 267;0.0009996
Ejecución 268;0.0020008
Ejecución 269;0.0020009
Ejecución 270;0.0019618
Ejecución 271;0.0020371
Ejecución 272;0.0019971
Ejecución 273;0.0010016
Ejecución 274;0.0010018
Ejecución 275;0.0019999
Ejecución 276;0.0020008
Ejecución 277;0.0019998
Ejecución 278;0.0020033
Ejecución 279;0.0019968
Ejecución 280;0.0009999
Ejecución 281;0.0009967
Ejecución 282;0.002007
Ejecución 283;0.0020027
Ejecución 284;0.0019548
Ejecución 285;0.0020404
Ejecución 286;0.0019981
Ejecución 287;0.001996
Ejecución 288;0.0010047
Ejecución 289;0.0020042
Ejecución 290;0.0020037
Ejecución 291;0.0019997
Ejecución 292;0.0019975
Ejecución 293;0.0020036
Ejecución 294;0.0020056
Ejecución 295;0.0010338
Ejecución 296;0.000999
Ejecución 297;0.0009923
Ejecución 298;0.0009894
Ejecución 299;0.0009968
Ejecución 300;0.0019613
Ejecución 301;0.0020403
Ejecución 302;0.0019615
Ejecución 303;0.0020382
Ejecución 304;0.0020045
Ejecución 305;0.0019951
Ejecución 306;0.002001
Ejecución 307;0.0009993
Ejecución 308;0.0010019
Ejecución 309;0.0019988
Ejecución 310;0.002
Ejecución 311;0.0020011
Ejecución 312;0.0019996
Ejecución 313;0.0020028
Ejecución 314;0.0019978
Ejecución 315;0.0020043
Ejecución 316;0.002001
Ejecución 317;0.002001
Ejecución 318;0.0020015
Ejecución 319;0.0019978
Ejecución 320;0.0020016
Ejecución 321;0.0020001
Ejecución 322;0.0020004
Ejecución 323;0.0020003
Ejecución 324;0.0020025
Ejecución 325;0.0019984
Ejecución 326;0.0020014
Ejecución 327;0.0019989
Ejecución 328;0.0020001
Ejecución 329;0.0020052
Ejecución 330;0.0019956
Ejecución 331;0.002
Ejecución 332;0.0020044
Ejecución 333;0.0009898
Ejecución 334;0.0009919
Ejecución 335;0.0009927
Ejecución 336;0.0010005
Ejecución 337;0.0010024
Ejecución 338;0.0010079
Ejecución 339;0.001006
Ejecución 340;0.0009997
Ejecución 341;0.0009998
Ejecución 342;0.0010067
Ejecución 343;0.0019979
Ejecución 344;0.0020034
Ejecución 345;0.0019971
Ejecución 346;0.002001
Ejecución 347;0.0020007
Ejecución 348;0.0019993
Ejecución 349;0.0019997
Ejecución 350;0.0020003
Ejecución 351;0.0020011
Ejecución 352;0.0019998
Ejecución 353;0.0020012
Ejecución 354;0.0020017
Ejecución 355;0.0019574
Ejecución 356;0.0019983
Ejecución 357;0.0009999
Ejecución 358;0.0010004
Ejecución 359;0.0010002
Ejecución 360;0.0009998
Ejecución 361;0.0010002
Ejecución 362;0.0020011
Ejecución 363;0.0019993
Ejecución 364;0.0020025
Ejecución 365;0.0010072
Ejecución 366;0.0010339
Ejecución 367;0.0020089
Ejecución 368;0.0019911
Ejecución 369;0.0020009
Ejecución 370;0.0020452
Ejecución 371;0.0019552
Ejecución 372;0.0010004
Ejecución 373;0.0010011
Ejecución 374;0.0020022
Ejecución 375;0.00204
Ejecución 376;0.0019659
Ejecución 377;0.0019944
Ejecución 378;0.0020458
Ejecución 379;0.0019975
Ejecución 380;0.0010019
Ejecución 381;0.0009999
Ejecución 382;0.001992
Ejecución 383;0.0019984
Ejecución 384;0.0020031
Ejecución 385;0.0019984
Ejecución 386;0.0019998
Ejecución 387;0.0020009
Ejecución 388;0.0010339
Ejecución 389;0.0020016
Ejecución 390;0.002004
Ejecución 391;0.0019961
Ejecución 392;0.0020419
Ejecución 393;0.0020009
Ejecución 394;0.0020035
Ejecución 395;0.00096
Ejecución 396;0.0009587
Ejecución 397;0.0020044
Ejecución 398;0.0019956
Ejecución 399;0.0019971
Ejecución 400;0.002001
Ejecución 401;0.0020006
Ejecución 402;0.0019993
Ejecución 403;0.0009929
Ejecución 404;0.0010008
Ejecución 405;0.0019997
Ejecución 406;0.0020066
Ejecución 407;0.0020412
Ejecución 408;0.0019971
Ejecución 409;0.0019993
Ejecución 410;0.0019584
Ejecución 411;0.0009565
Ejecución 412;0.0020448
Ejecución 413;0.0020006
Ejecución 414;0.0019987
Ejecución 415;0.0019986
Ejecución 416;0.0020004
Ejecución 417;0.0020003
Ejecución 418;0.0010036
Ejecución 419;0.0010416
Ejecución 420;0.0020003
Ejecución 421;0.0020457
Ejecución 422;0.0019973
Ejecución 423;0.0019999
Ejecución 424;0.0020034
Ejecución 425;0.0019609
Ejecución 426;0.0009569
Ejecución 427;0.0009568
Ejecución 428;0.002
Ejecución 429;0.0019992
Ejecución 430;0.001998
Ejecución 431;0.0020002
Ejecución 432;0.0020008
Ejecución 433;0.0020342
Ejecución 434;0.0020005
Ejecución 435;0.0010437
Ejecución 436;0.0009993
Ejecución 437;0.0019956
Ejecución 438;0.002003
Ejecución 439;0.0020072
Ejecución 440;0.0019994
Ejecución 441;0.0019944
Ejecución 442;0.0019974
Ejecución 443;0.0010344
Ejecución 444;0.0009983
Ejecución 445;0.0019983
Ejecución 446;0.0019991
Ejecución 447;0.0020005
Ejecución 448;0.0019987
Ejecución 449;0.0020016
Ejecución 450;0.0020032
Ejecución 451;0.001002
Ejecución 452;0.0010017
Ejecución 453;0.0020048
Ejecución 454;0.0020009
Ejecución 455;0.002002
Ejecución 456;0.0019931
Ejecución 457;0.0020041
Ejecución 458;0.0010403
Ejecución 459;0.0009979
Ejecución 460;0.0020039
Ejecución 461;0.0019553
Ejecución 462;0.0020076
Ejecución 463;0.0019929
Ejecución 464;0.0020452
Ejecución 465;0.0020009
Ejecución 466;0.0009592
Ejecución 467;0.0009659
Ejecución 468;0.0020086
Ejecución 469;0.0019965
Ejecución 470;0.0020037
Ejecución 471;0.0019926
Ejecución 472;0.0020005
Ejecución 473;0.0010432
Ejecución 474;0.0009978
Ejecución 475;0.0050024
Ejecución 476;0.0019575
Ejecución 477;0.0020006
Ejecución 478;0.0009995
Ejecución 479;0.0020011
Ejecución 480;0.0020104
Ejecución 481;0.0019879
Ejecución 482;0.0020004
Ejecución 483;0.0009994
Ejecución 484;0.0009994
Ejecución 485;0.0019993
Ejecución 486;0.0020002
Ejecución 487;0.0020004
Ejecución 488;0.0020016
Ejecución 489;0.0019995
Ejecución 490;0.0009995
Ejecución 491;0.0019994
Ejecución 492;0.0019992
Ejecución 493;0.0020003
Ejecución 494;0.0020002
Ejecución 495;0.0020015
Ejecución 496;0.0009994
Ejecución 497;0.0019987
Ejecución 498;0.0020001
Ejecución 499;0.0020002
Ejecución 500;0.0020003
Ejecución 501;0.0020005
Ejecución 502;0.0020002
Ejecución 503;0.0010134
Ejecución 504;0.001999
Ejecución 505;0.0020004
Ejecución 506;0.0019999
Ejecución 507;0.0020008
Ejecución 508;0.0020005
Ejecución 509;0.0009993
Ejecución 510;0.0020348
Ejecución 511;0.0019989
Ejecución 512;0.0020009
Ejecución 513;0.0020006
Ejecución 514;0.0010476
Ejecución 515;0.0010352
Ejecución 516;0.0020008
Ejecución 517;0.0020012
Ejecución 518;0.0020459
Ejecución 519;0.0020012
Ejecución 520;0.0020034
Ejecución 521;0.0009891
Ejecución 522;0.0009834
Ejecución 523;0.0009976
Ejecución 524;0.0010007
Ejecución 525;0.0010041
Ejecución 526;0.0019999
Ejecución 527;0.0020019
Ejecución 528;0.0019973
Ejecución 529;0.0020009
Ejecución 530;0.0020002
Ejecución 531;0.002004
Ejecución 532;0.001999
Ejecución 533;0.0009907
Ejecución 534;0.0009843
Ejecución 535;0.0009981
Ejecución 536;0.0010084
Ejecución 537;0.0010021
Ejecución 538;0.0020067
Ejecución 539;0.0020025
Ejecución 540;0.002001
Ejecución 541;0.0019969
Ejecución 542;0.0020005
Ejecución 543;0.0020007
Ejecución 544;0.0020023
Ejecución 545;0.0009897
Ejecución 546;0.0009919
Ejecución 547;0.000998
Ejecución 548;0.0010003
Ejecución 549;0.001001
Ejecución 550;0.0020067
Ejecución 551;0.0020026
Ejecución 552;0.0020006
Ejecución 553;0.0019976
Ejecución 554;0.0020013
Ejecución 555;0.0019993
Ejecución 556;0.0009927
Ejecución 557;0.0009909
Ejecución 558;0.0009928
Ejecución 559;0.0009642
Ejecución 560;0.0009944
Ejecución 561;0.001001
Ejecución 562;0.0020069
Ejecución 563;0.0020024
Ejecución 564;0.0020007
Ejecución 565;0.0020023
Ejecución 566;0.0019959
Ejecución 567;0.0020004
Ejecución 568;0.0020019
Ejecución 569;0.0009907
Ejecución 570;0.0009845
Ejecución 571;0.0009943
Ejecución 572;0.0010096
Ejecución 573;0.0020007
Ejecución 574;0.0019995
Ejecución 575;0.002001
Ejecución 576;0.0020007
Ejecución 577;0.0015496
Ejecución 578;0.0020049
Ejecución 579;0.0019983
Ejecución 580;0.0020062
Ejecución 581;0.0009914
Ejecución 582;0.0009939
Ejecución 583;0.0010025
Ejecución 584;0.0010025
Ejecución 585;0.0010001
Ejecución 586;0.0020091
Ejecución 587;0.0019998
Ejecución 588;0.0020001
Ejecución 589;0.0020006
Ejecución 590;0.0019997
Ejecución 591;0.000993
Ejecución 592;0.0009826
Ejecución 593;0.000993
Ejecución 594;0.0010031
Ejecución 595;0.0019992
Ejecución 596;0.0020008
Ejecución 597;0.001998
Ejecución 598;0.0020006
Ejecución 599;0.001959
Ejecución 600;0.0020501
Ejecución 601;0.0019918
Ejecución 602;0.0010002
Ejecución 603;0.0009871
Ejecución 604;0.0009997
Ejecución 605;0.0010082
Ejecución 606;0.0010096
Ejecución 607;0.0019992
Ejecución 608;0.0019995
Ejecución 609;0.0020034
Ejecución 610;0.0019974
Ejecución 611;0.0019998
Ejecución 612;0.0020009
Ejecución 613;0.0009922
Ejecución 614;0.0009916
Ejecución 615;0.0009967
Ejecución 616;0.000996
Ejecución 617;0.0009976
Ejecución 618;0.0020023
Ejecución 619;0.002001
Ejecución 620;0.0020061
Ejecución 621;0.0020028
Ejecución 622;0.0009888
Ejecución 623;0.0009883
Ejecución 624;0.0010019
Ejecución 625;0.0020097
Ejecución 626;0.0019988
Ejecución 627;0.0019993
Ejecución 628;0.0019995
Ejecución 629;0.0020003
Ejecución 630;0.0009925
Ejecución 631;0.0010018
Ejecución 632;0.0009986
Ejecución 633;0.0020002
Ejecución 634;0.0020002
Ejecución 635;0.0020007
Ejecución 636;0.0020076
Ejecución 637;0.000992
Ejecución 638;0.0009867
Ejecución 639;0.0010084
Ejecución 640;0.0010027
Ejecución 641;0.0020073
Ejecución 642;0.0019573
Ejecución 643;0.002041
Ejecución 644;0.0019587
Ejecución 645;0.0020391
Ejecución 646;0.0020005
Ejecución 647;0.002005
Ejecución 648;0.0019985
Ejecución 649;0.0019969
Ejecución 650;0.0009996
Ejecución 651;0.0009942
Ejecución 652;0.0009991
Ejecución 653;0.0009583
Ejecución 654;0.0019969
Ejecución 655;0.0020002
Ejecución 656;0.002001
Ejecución 657;0.0019995
Ejecución 658;0.0020004
Ejecución 659;0.0019979
Ejecución 660;0.0020073
Ejecución 661;0.0019916
Ejecución 662;0.0019999
Ejecución 663;0.0009981
Ejecución 664;0.0009977
Ejecución 665;0.0010014
Ejecución 666;0.0020007
Ejecución 667;0.0019997
Ejecución 668;0.0020001
Ejecución 669;0.0020003
Ejecución 670;0.0020035
Ejecución 671;0.0020015
Ejecución 672;0.0019958
Ejecución 673;0.0020008
Ejecución 674;0.0010486
Ejecución 675;0.0009977
Ejecución 676;0.0010003
Ejecución 677;0.0009954
Ejecución 678;0.0019999
Ejecución 679;0.0020009
Ejecución 680;0.0020042
Ejecución 681;0.0019961
Ejecución 682;0.0020041
Ejecución 683;0.0019961
Ejecución 684;0.0020014
Ejecución 685;0.0020026
Ejecución 686;0.0019933
Ejecución 687;0.001001
Ejecución 688;0.0010009
Ejecución 689;0.0010022
Ejecución 690;0.0009948
Ejecución 691;0.0020043
Ejecución 692;0.0019972
Ejecución 693;0.0020019
Ejecución 694;0.0020009
Ejecución 695;0.0009934
Ejecución 696;0.0009889
Ejecución 697;0.0009972
Ejecución 698;0.0009977
Ejecución 699;0.001
Ejecución 700;0.002008
Ejecución 701;0.0020004
Ejecución 702;0.0020009
Ejecución 703;0.0020037
Ejecución 704;0.0009878
Ejecución 705;0.0009915
Ejecución 706;0.0009975
Ejecución 707;0.0010109
Ejecución 708;0.0019923
Ejecución 709;0.0020063
Ejecución 710;0.0020029
Ejecución 711;0.0020009
Ejecución 712;0.0019971
Ejecución 713;0.0009937
Ejecución 714;0.0009953
Ejecución 715;0.0009984
Ejecución 716;0.0010047
Ejecución 717;0.0019999
Ejecución 718;0.0020015
Ejecución 719;0.002001
Ejecución 720;0.0019984
Ejecución 721;0.0009973
Ejecución 722;0.0010018
Ejecución 723;0.0010042
Ejecución 724;0.0020047
Ejecución 725;0.0020013
Ejecución 726;0.0019993
Ejecución 727;0.0020011
Ejecución 728;0.0009934
Ejecución 729;0.000994
Ejecución 730;0.0010106
Ejecución 731;0.0020017
Ejecución 732;0.0019963
Ejecución 733;0.0020006
Ejecución 734;0.0019997
Ejecución 735;0.0009933
Ejecución 736;0.0009874
Ejecución 737;0.0009998
Ejecución 738;0.0010064
Ejecución 739;0.0020008
Ejecución 740;0.0020031
Ejecución 741;0.0019972
Ejecución 742;0.0020001
Ejecución 743;0.0020041
Ejecución 744;0.0009893
Ejecución 745;0.0010097
Ejecución 746;0.0010117
Ejecución 747;0.0019983
Ejecución 748;0.0020009
Ejecución 749;0.0019977
Ejecución 750;0.0020005
Ejecución 751;0.0009946
Ejecución 752;0.0010035
Ejecución 753;0.0009971
Ejecución 754;0.0020082
Ejecución 755;0.0020002
Ejecución 756;0.0020011
Ejecución 757;0.0019883
Ejecución 758;0.0020104
Ejecución 759;0.0020035
Ejecución 760;0.0019956
Ejecución 761;0.0020002
Ejecución 762;0.0020013
Ejecución 763;0.0019999
Ejecución 764;0.0020024
Ejecución 765;0.0019977
Ejecución 766;0.0020031
Ejecución 767;0.0019992
Ejecución 768;0.0019984
Ejecución 769;0.0020001
Ejecución 770;0.0020001
Ejecución 771;0.0020009
Ejecución 772;0.0009992
Ejecución 773;0.0010018
Ejecución 774;0.0010026
Ejecución 775;0.0010115
Ejecución 776;0.0009881
Ejecución 777;0.0010059
Ejecución 778;0.0020012
Ejecución 779;0.0020022
Ejecución 780;0.0019987
Ejecución 781;0.0019993
Ejecución 782;0.0009942
Ejecución 783;0.0009905
Ejecución 784;0.0010079
Ejecución 785;0.0020008
Ejecución 786;0.0020011
Ejecución 787;0.0020056
Ejecución 788;0.0019951
Ejecución 789;0.0020024
Ejecución 790;0.0009908
Ejecución 791;0.0010017
Ejecución 792;0.001
Ejecución 793;0.0020082
Ejecución 794;0.0020006
Ejecución 795;0.0019998
Ejecución 796;0.0020038
Ejecución 797;0.0019977
Ejecución 798;0.0019997
Ejecución 799;0.0019972
Ejecución 800;0.0020057
Ejecución 801;0.0019958
Ejecución 802;0.0019993
Ejecución 803;0.0020017
Ejecución 804;0.0020003
Ejecución 805;0.0020021
Ejecución 806;0.001997
Ejecución 807;0.0020007
