Algoritmo;Quick_Sort
Tamaño;50000
Orden;asc
Repeticiones;100
Máquina;Vale
Tiempo total;260.125s
Tiempo promedio;2.60125s
Tiempos individuales (s):
Ejecución 1;2.45626
Ejecución 2;2.33381
Ejecución 3;2.29001
Ejecución 4;2.2992
Ejecución 5;2.31191
Ejecución 6;2.52443
Ejecución 7;2.63315
Ejecución 8;2.43191
Ejecución 9;2.43669
Ejecución 10;2.32241
Ejecución 11;2.45151
Ejecución 12;2.58486
Ejecución 13;2.51051
Ejecución 14;2.59542
Ejecución 15;2.3682
Ejecución 16;2.45002
Ejecución 17;2.28432
Ejecución 18;3.04678
Ejecución 19;4.63696
Ejecución 20;3.80359
Ejecución 21;3.45682
Ejecución 22;3.34072
Ejecución 23;2.66948
Ejecución 24;2.77814
Ejecución 25;2.77491
Ejecución 26;2.72446
Ejecución 27;2.78356
Ejecución 28;2.83434
Ejecución 29;2.79556
Ejecución 30;2.64649
Ejecución 31;2.71882
Ejecución 32;2.63833
Ejecución 33;2.71128
Ejecución 34;2.36787
Ejecución 35;2.37539
Ejecución 36;2.47773
Ejecución 37;2.50171
Ejecución 38;2.83364
Ejecución 39;2.76147
Ejecución 40;2.622
Ejecución 41;2.48636
Ejecución 42;2.64089
Ejecución 43;2.40693
Ejecución 44;2.77954
Ejecución 45;2.68828
Ejecución 46;2.47752
Ejecución 47;2.86269
Ejecución 48;2.62045
Ejecución 49;2.56564
Ejecución 50;2.78631
Ejecución 51;2.59693
Ejecución 52;2.47264
Ejecución 53;2.42908
Ejecución 54;3.1624
Ejecución 55;2.9326
Ejecución 56;2.71352
Ejecución 57;2.67156
Ejecución 58;2.57771
Ejecución 59;2.74524
Ejecución 60;2.37034
Ejecución 61;2.30682
Ejecución 62;2.3312
Ejecución 63;2.48039
Ejecución 64;2.65684
Ejecución 65;2.36175
Ejecución 66;2.70613
Ejecución 67;2.79414
Ejecución 68;2.76064
Ejecución 69;2.66598
Ejecución 70;2.61156
Ejecución 71;2.69476
Ejecución 72;2.69372
Ejecución 73;2.74087
Ejecución 74;2.60843
Ejecución 75;2.50128
Ejecución 76;2.52066
Ejecución 77;2.55305
Ejecución 78;2.71371
Ejecución 79;2.46808
Ejecución 80;2.3404
Ejecución 81;2.46769
Ejecución 82;2.31146
Ejecución 83;2.29536
Ejecución 84;2.64396
Ejecución 85;2.37308
Ejecución 86;2.72618
Ejecución 87;2.46955
Ejecución 88;2.43711
Ejecución 89;2.4226
Ejecución 90;2.41106
Ejecución 91;2.33108
Ejecución 92;2.30297
Ejecución 93;2.35272
Ejecución 94;2.34357
Ejecución 95;2.33017
Ejecución 96;2.34123
Ejecución 97;2.37318
Ejecución 98;2.34042
Ejecución 99;2.29976
Ejecución 100;2.47034
