Algoritmo;Radix_Sort
Tamaño;5000000
Orden;shuffled
Repeticiones;100
Máquina;Vale
Tiempo total;44.34s
Tiempo promedio;0.4434s
Tiempos individuales (s):
Ejecución 1;0.422685
Ejecución 2;0.420963
Ejecución 3;0.417233
Ejecución 4;0.420588
Ejecución 5;0.415758
Ejecución 6;0.428007
Ejecución 7;0.434199
Ejecución 8;0.424389
Ejecución 9;0.424345
Ejecución 10;0.482447
Ejecución 11;0.420677
Ejecución 12;0.423784
Ejecución 13;0.421391
Ejecución 14;0.417196
Ejecución 15;0.424171
Ejecución 16;0.405403
Ejecución 17;0.410809
Ejecución 18;0.41897
Ejecución 19;0.433395
Ejecución 20;0.405871
Ejecución 21;0.393643
Ejecución 22;0.419995
Ejecución 23;0.450657
Ejecución 24;0.563049
Ejecución 25;0.673352
Ejecución 26;0.445619
Ejecución 27;0.430095
Ejecución 28;0.42891
Ejecución 29;0.420669
Ejecución 30;0.422402
Ejecución 31;0.437174
Ejecución 32;0.422481
Ejecución 33;0.49389
Ejecución 34;0.45606
Ejecución 35;0.419593
Ejecución 36;0.495242
Ejecución 37;0.420827
Ejecución 38;0.428093
Ejecución 39;0.429033
Ejecución 40;0.503075
Ejecución 41;0.52865
Ejecución 42;0.439396
Ejecución 43;0.500504
Ejecución 44;0.518015
Ejecución 45;0.410599
Ejecución 46;0.460524
Ejecución 47;0.425665
Ejecución 48;0.454715
Ejecución 49;0.423161
Ejecución 50;0.427403
Ejecución 51;0.43914
Ejecución 52;0.428568
Ejecución 53;0.438974
Ejecución 54;0.432346
Ejecución 55;0.426099
Ejecución 56;0.415669
Ejecución 57;0.423988
Ejecución 58;0.437631
Ejecución 59;0.428046
Ejecución 60;0.424278
Ejecución 61;0.49185
Ejecución 62;0.413046
Ejecución 63;0.480465
Ejecución 64;0.463108
Ejecución 65;0.424374
Ejecución 66;0.411012
Ejecución 67;0.485131
Ejecución 68;0.43191
Ejecución 69;0.420132
Ejecución 70;0.454121
Ejecución 71;0.499032
Ejecución 72;0.422612
Ejecución 73;0.422862
Ejecución 74;0.423956
Ejecución 75;0.425483
Ejecución 76;0.537799
Ejecución 77;0.410916
Ejecución 78;0.477563
Ejecución 79;0.431753
Ejecución 80;0.418017
Ejecución 81;0.424894
Ejecución 82;0.405166
Ejecución 83;0.404973
Ejecución 84;0.402976
Ejecución 85;0.401313
Ejecución 86;0.413556
Ejecución 87;0.389189
Ejecución 88;0.497196
Ejecución 89;0.510113
Ejecución 90;0.707769
Ejecución 91;0.505713
Ejecución 92;0.444876
Ejecución 93;0.475748
Ejecución 94;0.421554
Ejecución 95;0.423015
Ejecución 96;0.424436
Ejecución 97;0.417284
Ejecución 98;0.405755
Ejecución 99;0.397809
Ejecución 100;0.412055
