Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.43705s
Tiempo promedio;0.00143705s
Tiempos individuales (s):
Ejecución 1;0.0019666
Ejecución 2;0.0019697
Ejecución 3;0.001742
Ejecución 4;0.0017258
Ejecución 5;0.0016458
Ejecución 6;0.0016628
Ejecución 7;0.001653
Ejecución 8;0.0016507
Ejecución 9;0.0016224
Ejecución 10;0.0017257
Ejecución 11;0.0018182
Ejecución 12;0.0021722
Ejecución 13;0.0017856
Ejecución 14;0.001634
Ejecución 15;0.0016354
Ejecución 16;0.0016336
Ejecución 17;0.0016573
Ejecución 18;0.0015683
Ejecución 19;0.0015671
Ejecución 20;0.0015885
Ejecución 21;0.0015689
Ejecución 22;0.0015655
Ejecución 23;0.0015669
Ejecución 24;0.0015816
Ejecución 25;0.0015723
Ejecución 26;0.0015769
Ejecución 27;0.001574
Ejecución 28;0.0015733
Ejecución 29;0.001565
Ejecución 30;0.0015655
Ejecución 31;0.0015672
Ejecución 32;0.0015644
Ejecución 33;0.0015659
Ejecución 34;0.0015687
Ejecución 35;0.0015665
Ejecución 36;0.0015657
Ejecución 37;0.0015628
Ejecución 38;0.0015557
Ejecución 39;0.0015554
Ejecución 40;0.001748
Ejecución 41;0.0015593
Ejecución 42;0.0015569
Ejecución 43;0.0015566
Ejecución 44;0.0015555
Ejecución 45;0.001554
Ejecución 46;0.0015494
Ejecución 47;0.0015498
Ejecución 48;0.0015884
Ejecución 49;0.0015501
Ejecución 50;0.0015496
Ejecución 51;0.0015478
Ejecución 52;0.0015548
Ejecución 53;0.0015549
Ejecución 54;0.0015565
Ejecución 55;0.0015551
Ejecución 56;0.0015726
Ejecución 57;0.0015659
Ejecución 58;0.0015636
Ejecución 59;0.0015634
Ejecución 60;0.0015555
Ejecución 61;0.0015551
Ejecución 62;0.0015572
Ejecución 63;0.001575
Ejecución 64;0.0015774
Ejecución 65;0.0015489
Ejecución 66;0.0015574
Ejecución 67;0.0014989
Ejecución 68;0.0014212
