Algoritmo;Radix_Sort
Tamaño;5000000
Orden;asc
Repeticiones;100
Máquina;Vale
Tiempo total;44.0179s
Tiempo promedio;0.440179s
Tiempos individuales (s):
Ejecución 1;0.440153
Ejecución 2;0.439822
Ejecución 3;0.444776
Ejecución 4;0.446222
Ejecución 5;0.533154
Ejecución 6;0.441517
Ejecución 7;0.438987
Ejecución 8;0.454064
Ejecución 9;0.430572
Ejecución 10;0.43107
Ejecución 11;0.416306
Ejecución 12;0.433223
Ejecución 13;0.427672
Ejecución 14;0.429876
Ejecución 15;0.438928
Ejecución 16;0.504988
Ejecución 17;0.500664
Ejecución 18;0.427277
Ejecución 19;0.43685
Ejecución 20;0.425194
Ejecución 21;0.418995
Ejecución 22;0.439396
Ejecución 23;0.434663
Ejecución 24;0.43293
Ejecución 25;0.43618
Ejecución 26;0.428772
Ejecución 27;0.425977
Ejecución 28;0.480349
Ejecución 29;0.433969
Ejecución 30;0.42813
Ejecución 31;0.422973
Ejecución 32;0.433621
Ejecución 33;0.423948
Ejecución 34;0.423126
Ejecución 35;0.412445
Ejecución 36;0.414337
Ejecución 37;0.437552
Ejecución 38;0.416285
Ejecución 39;0.512382
Ejecución 40;0.647214
Ejecución 41;0.456449
Ejecución 42;0.42686
Ejecución 43;0.431508
Ejecución 44;0.495897
Ejecución 45;0.424447
Ejecución 46;0.5207
Ejecución 47;0.428668
Ejecución 48;0.42543
Ejecución 49;0.419418
Ejecución 50;0.434708
Ejecución 51;0.420606
Ejecución 52;0.400615
Ejecución 53;0.43139
Ejecución 54;0.425017
Ejecución 55;0.431322
Ejecución 56;0.414543
Ejecución 57;0.41034
Ejecución 58;0.531637
Ejecución 59;0.467933
Ejecución 60;0.547201
Ejecución 61;0.430649
Ejecución 62;0.436302
Ejecución 63;0.409926
Ejecución 64;0.404637
Ejecución 65;0.416803
Ejecución 66;0.420511
Ejecución 67;0.435622
Ejecución 68;0.430105
Ejecución 69;0.415847
Ejecución 70;0.429024
Ejecución 71;0.427785
Ejecución 72;0.429072
Ejecución 73;0.428422
Ejecución 74;0.412476
Ejecución 75;0.410161
Ejecución 76;0.442801
Ejecución 77;0.433421
Ejecución 78;0.459264
Ejecución 79;0.43764
Ejecución 80;0.438739
Ejecución 81;0.424106
Ejecución 82;0.430482
Ejecución 83;0.429966
Ejecución 84;0.413773
Ejecución 85;0.397918
Ejecución 86;0.428285
Ejecución 87;0.431357
Ejecución 88;0.44857
Ejecución 89;0.435601
Ejecución 90;0.450094
Ejecución 91;0.518438
Ejecución 92;0.429712
Ejecución 93;0.458055
Ejecución 94;0.429489
Ejecución 95;0.425149
Ejecución 96;0.422485
Ejecución 97;0.43044
Ejecución 98;0.432698
Ejecución 99;0.416383
Ejecución 100;0.426471
