Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;1.15507s
Tiempo promedio;0.00115507s
Tiempos individuales (s):
Ejecución 1;0.001526
Ejecución 2;0.0015173
Ejecución 3;0.0015299
Ejecución 4;0.0015217
Ejecución 5;0.0013811
Ejecución 6;0.0013134
Ejecución 7;0.0013836
Ejecución 8;0.0013783
Ejecución 9;0.0017517
Ejecución 10;0.0013524
Ejecución 11;0.0012707
Ejecución 12;0.0012566
Ejecución 13;0.0012648
Ejecución 14;0.0012556
Ejecución 15;0.0012634
Ejecución 16;0.0012613
Ejecución 17;0.001254
Ejecución 18;0.001241
Ejecución 19;0.0012338
Ejecución 20;0.0012314
Ejecución 21;0.0012251
Ejecución 22;0.0012258
Ejecución 23;0.0012409
Ejecución 24;0.001252
Ejecución 25;0.0012034
Ejecución 26;0.0011911
Ejecución 27;0.0011926
Ejecución 28;0.0012064
Ejecución 29;0.0012068
Ejecución 30;0.0011977
Ejecución 31;0.001191
Ejecución 32;0.0012004
Ejecución 33;0.0011975
Ejecución 34;0.0011968
Ejecución 35;0.001195
Ejecución 36;0.0011889
Ejecución 37;0.0011941
Ejecución 38;0.0011875
Ejecución 39;0.0011875
Ejecución 40;0.0011817
Ejecución 41;0.0011902
Ejecución 42;0.0011931
Ejecución 43;0.001195
Ejecución 44;0.0011903
Ejecución 45;0.0011805
Ejecución 46;0.0011949
Ejecución 47;0.0011869
Ejecución 48;0.0012053
Ejecución 49;0.0011793
Ejecución 50;0.0011847
Ejecución 51;0.0011983
Ejecución 52;0.0011863
Ejecución 53;0.001186
Ejecución 54;0.0011955
Ejecución 55;0.0011868
Ejecución 56;0.0011873
Ejecución 57;0.0011873
Ejecución 58;0.0011816
Ejecución 59;0.0011806
Ejecución 60;0.0011869
Ejecución 61;0.0011866
Ejecución 62;0.0011815
Ejecución 63;0.0012079
Ejecución 64;0.0012017
Ejecución 65;0.0011816
Ejecución 66;0.0011809
Ejecución 67;0.0011966
Ejecución 68;0.0011742
Ejecución 69;0.0011801
Ejecución 70;0.0011809
Ejecución 71;0.0011741
Ejecución 72;0.0011739
Ejecución 73;0.0011797
Ejecución 74;0.0011813
Ejecución 75;0.0012407
Ejecución 76;0.0011744
Ejecución 77;0.0011738
Ejecución 78;0.00118
Ejecución 79;0.0011812
Ejecución 80;0.0011727
Ejecución 81;0.0011737
Ejecución 82;0.0011802
Ejecución 83;0.0011795
Ejecución 84;0.0011803
Ejecución 85;0.0011912
Ejecución 86;0.0011736
Ejecución 87;0.0011899
Ejecución 88;0.0011787
Ejecución 89;0.0011763
Ejecución 90;0.0011844
Ejecución 91;0.0011826
Ejecución 92;0.0011826
Ejecución 93;0.0011808
Ejecución 94;0.0011755
Ejecución 95;0.0011983
Ejecución 96;0.0011809
Ejecución 97;0.0011803
Ejecución 98;0.0011869
Ejecución 99;0.0011742
Ejecución 100;0.0011829
Ejecución 101;0.0011804
Ejecución 102;0.0011742
Ejecución 103;0.0011741
Ejecución 104;0.0011809
Ejecución 105;0.001199
Ejecución 106;0.0011965
Ejecución 107;0.0011826
Ejecución 108;0.0011846
Ejecución 109;0.0011805
Ejecución 110;0.0011806
Ejecución 111;0.0011748
Ejecución 112;0.0011854
Ejecución 113;0.0011761
Ejecución 114;0.0011932
Ejecución 115;0.0011756
Ejecución 116;0.0012009
Ejecución 117;0.0011819
Ejecución 118;0.0011812
Ejecución 119;0.0011803
Ejecución 120;0.0011762
Ejecución 121;0.0011412
Ejecución 122;0.0011812
Ejecución 123;0.0011897
Ejecución 124;0.0011719
Ejecución 125;0.0011865
