Algoritmo;insertion_sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;26.993s
Tiempo promedio;0.026993s
Tiempos individuales (s):
Ejecución 225;0.0263759
Ejecución 226;0.0267943
Ejecución 227;0.0289439
Ejecución 228;0.0281599
Ejecución 229;0.0263544
Ejecución 230;0.0263509
Ejecución 231;0.0303237
Ejecución 232;0.0271038
Ejecución 233;0.0263831
Ejecución 234;0.0264313
Ejecución 235;0.0264668
Ejecución 236;0.0263457
Ejecución 237;0.0263888
Ejecución 238;0.0264417
Ejecución 239;0.0263405
Ejecución 240;0.0265695
Ejecución 241;0.0263941
Ejecución 242;0.0265455
Ejecución 243;0.0266747
Ejecución 244;0.0267103
Ejecución 245;0.0264004
Ejecución 246;0.0263426
Ejecución 247;0.026955
Ejecución 248;0.0316408
Ejecución 249;0.0268828
Ejecución 250;0.0266074
Ejecución 251;0.026369
Ejecución 252;0.0263954
Ejecución 253;0.0267271
Ejecución 254;0.0264391
Ejecución 255;0.0266317
Ejecución 256;0.0267462
Ejecución 257;0.026418
Ejecución 258;0.0263906
Ejecución 259;0.0267433
Ejecución 260;0.0267078
Ejecución 261;0.0266966
Ejecución 262;0.0267424
Ejecución 263;0.0264715
Ejecución 264;0.028308
Ejecución 265;0.028994
Ejecución 266;0.0270577
Ejecución 267;0.0264169
Ejecución 268;0.0264343
Ejecución 269;0.0277067
Ejecución 270;0.0264073
Ejecución 271;0.0267213
Ejecución 272;0.0267186
Ejecución 273;0.0264527
Ejecución 274;0.0267238
Ejecución 275;0.0267291
Ejecución 276;0.0266691
Ejecución 277;0.0263957
Ejecución 278;0.0267314
Ejecución 279;0.0266954
Ejecución 280;0.0268867
Ejecución 281;0.0265213
Ejecución 282;0.026769
Ejecución 283;0.0263753
Ejecución 284;0.0263997
Ejecución 285;0.029474
Ejecución 286;0.0263398
Ejecución 287;0.0263181
Ejecución 288;0.0263499
Ejecución 289;0.0263317
Ejecución 290;0.0263453
Ejecución 291;0.0267507
Ejecución 292;0.0263294
Ejecución 293;0.0267548
Ejecución 294;0.0267162
Ejecución 295;0.0262712
Ejecución 296;0.0263621
Ejecución 297;0.0262898
Ejecución 298;0.0263221
Ejecución 299;0.0266404
Ejecución 300;0.0262468
Ejecución 301;0.0264577
Ejecución 302;0.0288432
Ejecución 303;0.0286334
Ejecución 304;0.031237
Ejecución 305;0.0264494
Ejecución 306;0.0263182
Ejecución 307;0.0266151
Ejecución 308;0.0264735
Ejecución 309;0.0263308
Ejecución 310;0.026434
Ejecución 311;0.0264391
Ejecución 312;0.0263766
Ejecución 313;0.0263535
Ejecución 314;0.0270533
Ejecución 315;0.0263751
Ejecución 316;0.0263413
Ejecución 317;0.0263399
Ejecución 318;0.0264766
Ejecución 319;0.0263785
Ejecución 320;0.0264405
Ejecución 321;0.0263842
Ejecución 322;0.0263709
Ejecución 323;0.0295595
Ejecución 324;0.0264005
Ejecución 325;0.0262969
Ejecución 326;0.0266549
Ejecución 327;0.026315
Ejecución 328;0.0263897
Ejecución 329;0.0263066
Ejecución 330;0.0274992
Ejecución 331;0.0263592
Ejecución 332;0.026315
Ejecución 333;0.026402
Ejecución 334;0.0263538
Ejecución 335;0.0263245
Ejecución 336;0.0271515
Ejecución 337;0.0265661
Ejecución 338;0.032319
Ejecución 339;0.0354037
Ejecución 340;0.0301506
Ejecución 341;0.0275728
Ejecución 342;0.0267881
Ejecución 343;0.0263977
Ejecución 344;0.0276935
Ejecución 345;0.0264089
Ejecución 346;0.0263906
Ejecución 347;0.026463
Ejecución 348;0.0270434
Ejecución 349;0.0264111
Ejecución 350;0.0267029
Ejecución 351;0.0264674
Ejecución 352;0.0264317
Ejecución 353;0.026759
Ejecución 354;0.0264017
Ejecución 355;0.0267649
Ejecución 356;0.0264149
Ejecución 357;0.0267275
Ejecución 358;0.0270429
Ejecución 359;0.0266994
Ejecución 360;0.0358175
Ejecución 361;0.0275809
Ejecución 362;0.0269592
Ejecución 363;0.0265958
Ejecución 364;0.0264009
Ejecución 365;0.0263841
Ejecución 366;0.0263507
Ejecución 367;0.0267045
Ejecución 368;0.0265058
Ejecución 369;0.0310859
Ejecución 370;0.030791
Ejecución 371;0.0295429
Ejecución 372;0.0272003
Ejecución 373;0.027018
Ejecución 374;0.02648
Ejecución 375;0.0275485
Ejecución 376;0.0293592
Ejecución 377;0.0271313
Ejecución 378;0.0267347
Ejecución 379;0.0263373
Ejecución 380;0.0279147
Ejecución 381;0.0269679
Ejecución 382;0.0268108
Ejecución 383;0.0263606
Ejecución 384;0.0267875
Ejecución 385;0.0264135
Ejecución 386;0.0263606
Ejecución 387;0.0263506
Ejecución 388;0.0267275
Ejecución 389;0.0267442
Ejecución 390;0.0263755
Ejecución 391;0.0263787
Ejecución 392;0.0266721
Ejecución 393;0.0267093
Ejecución 394;0.0263387
Ejecución 395;0.026379
Ejecución 396;0.0295686
Ejecución 397;0.0263514
Ejecución 398;0.026445
Ejecución 399;0.0264028
Ejecución 400;0.0265118
Ejecución 401;0.0263796
Ejecución 402;0.0269946
Ejecución 403;0.0264181
Ejecución 404;0.0271687
Ejecución 405;0.026373
Ejecución 406;0.0265038
Ejecución 407;0.0264198
Ejecución 408;0.0263554
Ejecución 409;0.0263922
Ejecución 410;0.0264059
Ejecución 411;0.0263719
Ejecución 412;0.0264315
Ejecución 413;0.0287373
Ejecución 414;0.0280046
Ejecución 415;0.0265926
Ejecución 416;0.0367199
Ejecución 417;0.0265451
Ejecución 418;0.0275446
Ejecución 419;0.0264206
Ejecución 420;0.0265111
Ejecución 421;0.0263737
Ejecución 422;0.0264415
Ejecución 423;0.0263653
Ejecución 424;0.0270684
Ejecución 425;0.026463
Ejecución 426;0.026377
Ejecución 427;0.0264295
Ejecución 428;0.0263538
Ejecución 429;0.0263755
Ejecución 430;0.0264965
Ejecución 431;0.0263227
Ejecución 432;0.0265246
Ejecución 433;0.0263876
Ejecución 434;0.0263465
Ejecución 435;0.0263856
Ejecución 436;0.0270154
Ejecución 437;0.0263485
Ejecución 438;0.0269107
Ejecución 439;0.0263804
Ejecución 440;0.0264589
Ejecución 441;0.0266893
Ejecución 442;0.0271131
Ejecución 443;0.0266905
Ejecución 444;0.0263888
Ejecución 445;0.0264446
Ejecución 446;0.0270797
Ejecución 447;0.026352
Ejecución 448;0.026405
Ejecución 449;0.0264019
Ejecución 450;0.0277965
Ejecución 451;0.0283346
Ejecución 452;0.0266137
Ejecución 453;0.0264594
Ejecución 454;0.0263495
Ejecución 455;0.0263661
Ejecución 456;0.0268436
Ejecución 457;0.0268111
Ejecución 458;0.0264146
Ejecución 459;0.0263874
Ejecución 460;0.0264262
Ejecución 461;0.0263856
Ejecución 462;0.0267217
Ejecución 463;0.0264743
Ejecución 464;0.0263996
Ejecución 465;0.0264141
Ejecución 466;0.0263947
Ejecución 467;0.0263729
Ejecución 468;0.0263792
Ejecución 469;0.0270975
Ejecución 470;0.0263477
Ejecución 471;0.0264229
Ejecución 472;0.0289841
Ejecución 473;0.0337073
Ejecución 474;0.0263909
Ejecución 475;0.0263518
Ejecución 476;0.0265876
Ejecución 477;0.0264267
Ejecución 478;0.0263984
Ejecución 479;0.0263556
Ejecución 480;0.0267134
Ejecución 481;0.0278845
Ejecución 482;0.0267337
Ejecución 483;0.0280467
Ejecución 484;0.0269851
Ejecución 485;0.0264122
Ejecución 486;0.0267034
Ejecución 487;0.0274367
Ejecución 488;0.0292438
Ejecución 489;0.0269317
Ejecución 490;0.0267743
Ejecución 491;0.0272707
Ejecución 492;0.0263211
Ejecución 493;0.0267363
Ejecución 494;0.0265698
Ejecución 495;0.0262741
Ejecución 496;0.0262331
Ejecución 497;0.0263249
Ejecución 498;0.0263303
Ejecución 499;0.0263174
Ejecución 500;0.0263231
Ejecución 501;0.0263744
Ejecución 502;0.0263269
Ejecución 503;0.0263024
Ejecución 504;0.0264093
Ejecución 505;0.026419
Ejecución 506;0.0264785
Ejecución 507;0.0263686
Ejecución 508;0.0296302
Ejecución 509;0.0263354
Ejecución 510;0.0263739
Ejecución 511;0.0264141
Ejecución 512;0.0263719
Ejecución 513;0.0270107
Ejecución 514;0.0265651
Ejecución 515;0.0264522
Ejecución 516;0.0263123
Ejecución 517;0.0263687
Ejecución 518;0.0263477
Ejecución 519;0.0266561
Ejecución 520;0.0263701
Ejecución 521;0.0263273
Ejecución 522;0.0264295
Ejecución 523;0.0263495
Ejecución 524;0.0263598
Ejecución 525;0.0279595
Ejecución 526;0.0292222
Ejecución 527;0.0276263
Ejecución 528;0.0264309
Ejecución 529;0.0263296
Ejecución 530;0.0263077
Ejecución 531;0.0271225
Ejecución 532;0.0263286
Ejecución 533;0.0263785
Ejecución 534;0.0267297
Ejecución 535;0.0263166
Ejecución 536;0.0266998
Ejecución 537;0.0263808
Ejecución 538;0.0269085
Ejecución 539;0.0263179
Ejecución 540;0.0263256
Ejecución 541;0.0263759
Ejecución 542;0.0263501
Ejecución 543;0.0263875
Ejecución 544;0.0263166
Ejecución 545;0.0263154
Ejecución 546;0.0267091
Ejecución 547;0.0267142
Ejecución 548;0.0264034
Ejecución 549;0.0263905
Ejecución 550;0.0263739
Ejecución 551;0.0263247
Ejecución 552;0.0263446
Ejecución 553;0.0265178
Ejecución 554;0.026335
Ejecución 555;0.0264863
Ejecución 556;0.0317164
Ejecución 557;0.0278261
Ejecución 558;0.0270543
Ejecución 559;0.0264215
Ejecución 560;0.0264296
Ejecución 561;0.0264243
Ejecución 562;0.0266592
Ejecución 563;0.0290385
Ejecución 564;0.0271679
Ejecución 565;0.0269567
Ejecución 566;0.0264374
Ejecución 567;0.0263901
Ejecución 568;0.0264269
Ejecución 569;0.0265879
Ejecución 570;0.0263649
Ejecución 571;0.0263755
Ejecución 572;0.0267163
Ejecución 573;0.0269122
Ejecución 574;0.0303947
Ejecución 575;0.0264449
Ejecución 576;0.0264374
Ejecución 577;0.026741
Ejecución 578;0.0267155
Ejecución 579;0.0267376
Ejecución 580;0.0270559
Ejecución 581;0.0264272
Ejecución 582;0.0267057
Ejecución 583;0.0299454
Ejecución 584;0.0277226
Ejecución 585;0.0266498
Ejecución 586;0.026975
Ejecución 587;0.0265144
Ejecución 588;0.026319
Ejecución 589;0.0264112
Ejecución 590;0.0262515
Ejecución 591;0.0262452
Ejecución 592;0.0265845
Ejecución 593;0.0269881
Ejecución 594;0.0267363
Ejecución 595;0.0267435
Ejecución 596;0.0263693
Ejecución 597;0.0263845
Ejecución 598;0.0265238
Ejecución 599;0.026384
Ejecución 600;0.0292411
Ejecución 601;0.0294937
Ejecución 602;0.0271028
Ejecución 603;0.0263257
Ejecución 604;0.0263489
Ejecución 605;0.0263093
Ejecución 606;0.0270514
Ejecución 607;0.0271907
Ejecución 608;0.0263395
Ejecución 609;0.0263385
Ejecución 610;0.0263736
Ejecución 611;0.0263506
Ejecución 612;0.026383
Ejecución 613;0.0263511
Ejecución 614;0.0264013
Ejecución 615;0.0264237
Ejecución 616;0.0264624
Ejecución 617;0.026367
Ejecución 618;0.0264049
Ejecución 619;0.0264051
Ejecución 620;0.0263715
Ejecución 621;0.0264551
Ejecución 622;0.0263858
Ejecución 623;0.0263125
Ejecución 624;0.0263306
Ejecución 625;0.0273574
Ejecución 626;0.0263247
Ejecución 627;0.0265056
Ejecución 628;0.0263724
Ejecución 629;0.026307
Ejecución 630;0.026465
Ejecución 631;0.026641
Ejecución 632;0.026327
Ejecución 633;0.026361
Ejecución 634;0.0264683
Ejecución 635;0.0263988
Ejecución 636;0.0263596
Ejecución 637;0.0270922
Ejecución 638;0.0298907
Ejecución 639;0.0272883
Ejecución 640;0.0264464
Ejecución 641;0.0319443
Ejecución 642;0.0262939
Ejecución 643;0.0262978
Ejecución 644;0.0263046
Ejecución 645;0.0262786
Ejecución 646;0.0262641
Ejecución 647;0.0263135
Ejecución 648;0.0262946
Ejecución 649;0.0262882
Ejecución 650;0.026274
Ejecución 651;0.0263357
Ejecución 652;0.0263608
Ejecución 653;0.0262969
Ejecución 654;0.0266431
Ejecución 655;0.0262526
Ejecución 656;0.0262687
Ejecución 657;0.0262478
Ejecución 658;0.0295992
Ejecución 659;0.0262514
Ejecución 660;0.0262393
Ejecución 661;0.0262494
Ejecución 662;0.0262487
Ejecución 663;0.0262898
Ejecución 664;0.0262667
Ejecución 665;0.0262846
Ejecución 666;0.0263041
Ejecución 667;0.0262959
Ejecución 668;0.0263166
Ejecución 669;0.0265342
Ejecución 670;0.026297
Ejecución 671;0.0263338
Ejecución 672;0.0262963
Ejecución 673;0.0262808
Ejecución 674;0.0263457
Ejecución 675;0.0287821
Ejecución 676;0.0291242
Ejecución 677;0.0269332
Ejecución 678;0.0263089
Ejecución 679;0.0262625
Ejecución 680;0.0262356
Ejecución 681;0.0263151
Ejecución 682;0.0263187
Ejecución 683;0.0269471
Ejecución 684;0.0262403
Ejecución 685;0.0263097
Ejecución 686;0.0263125
Ejecución 687;0.0262939
Ejecución 688;0.026292
Ejecución 689;0.0263103
Ejecución 690;0.0262935
Ejecución 691;0.0262938
Ejecución 692;0.0263173
Ejecución 693;0.0263063
Ejecución 694;0.0262601
Ejecución 695;0.0281504
Ejecución 696;0.0262963
Ejecución 697;0.0266124
Ejecución 698;0.0270281
Ejecución 699;0.0270196
Ejecución 700;0.0266047
Ejecución 701;0.0263492
Ejecución 702;0.0263661
Ejecución 703;0.0264425
Ejecución 704;0.0265539
Ejecución 705;0.0265592
Ejecución 706;0.0264033
Ejecución 707;0.0269791
Ejecución 708;0.0271231
Ejecución 709;0.0264232
Ejecución 710;0.0263749
Ejecución 711;0.0264148
Ejecución 712;0.0266749
Ejecución 713;0.0303924
Ejecución 714;0.0280654
Ejecución 715;0.0272238
Ejecución 716;0.026399
Ejecución 717;0.0263684
Ejecución 718;0.0264253
Ejecución 719;0.0264593
Ejecución 720;0.0264107
Ejecución 721;0.0270981
Ejecución 722;0.0263562
Ejecución 723;0.0264386
Ejecución 724;0.0263577
Ejecución 725;0.0263737
Ejecución 726;0.0265105
Ejecución 727;0.0264745
Ejecución 728;0.0267537
Ejecución 729;0.0267497
Ejecución 730;0.026748
Ejecución 731;0.0263765
Ejecución 732;0.0264629
Ejecución 733;0.02858
Ejecución 734;0.026458
Ejecución 735;0.0264004
Ejecución 736;0.0264025
Ejecución 737;0.0271772
Ejecución 738;0.0264412
Ejecución 739;0.0264282
Ejecución 740;0.0265385
Ejecución 741;0.0266157
Ejecución 742;0.0267739
Ejecución 743;0.0267011
Ejecución 744;0.0264079
Ejecución 745;0.0271642
Ejecución 746;0.026764
Ejecución 747;0.0266005
Ejecución 748;0.0264142
Ejecución 749;0.0264765
Ejecución 750;0.0294
Ejecución 751;0.0297786
Ejecución 752;0.0282614
Ejecución 753;0.0267296
Ejecución 754;0.0265752
Ejecución 755;0.027019
Ejecución 756;0.0263748
Ejecución 757;0.0266387
Ejecución 758;0.0270102
Ejecución 759;0.0272279
Ejecución 760;0.0271588
Ejecución 761;0.0266893
Ejecución 762;0.0265006
Ejecución 763;0.0270129
Ejecución 764;0.0263354
Ejecución 765;0.0270102
Ejecución 766;0.0263778
Ejecución 767;0.0263446
Ejecución 768;0.026416
Ejecución 769;0.0266909
Ejecución 770;0.0267216
Ejecución 771;0.0270948
Ejecución 772;0.0263818
Ejecución 773;0.0264103
Ejecución 774;0.0263659
Ejecución 775;0.0264213
Ejecución 776;0.026378
Ejecución 777;0.02632
Ejecución 778;0.0263708
Ejecución 779;0.0265719
Ejecución 780;0.0263628
Ejecución 781;0.0263669
Ejecución 782;0.0302027
Ejecución 783;0.0290745
Ejecución 784;0.0278054
Ejecución 785;0.0276603
Ejecución 786;0.0262593
Ejecución 787;0.029833
Ejecución 788;0.0287744
Ejecución 789;0.0263852
Ejecución 790;0.0264016
Ejecución 791;0.0270443
Ejecución 792;0.0267492
Ejecución 793;0.0267636
Ejecución 794;0.026399
Ejecución 795;0.026428
Ejecución 796;0.027096
Ejecución 797;0.026785
Ejecución 798;0.0264109
Ejecución 799;0.0267394
Ejecución 800;0.0265111
Ejecución 801;0.0263894
Ejecución 802;0.0265286
Ejecución 803;0.026754
Ejecución 804;0.0264413
Ejecución 805;0.0270738
Ejecución 806;0.026411
Ejecución 807;0.0267337
Ejecución 808;0.0267427
Ejecución 809;0.0300083
Ejecución 810;0.0326459
Ejecución 811;0.0265283
Ejecución 812;0.0266338
Ejecución 813;0.0268494
Ejecución 814;0.0270212
Ejecución 815;0.0266443
Ejecución 816;0.0263135
Ejecución 817;0.02632
Ejecución 818;0.0262912
Ejecución 819;0.0264948
Ejecución 820;0.0265537
Ejecución 821;0.0269183
Ejecución 822;0.0269456
Ejecución 823;0.026374
Ejecución 824;0.0281894
Ejecución 825;0.0288504
Ejecución 826;0.0266924
Ejecución 827;0.0262742
Ejecución 828;0.0262812
Ejecución 829;0.0263237
Ejecución 830;0.0262876
