Algoritmo;insertion_sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Vale
Tiempo total;18.0157s
Tiempo promedio;0.0180157s
Tiempos individuales (s):
Ejecución 1;0.0225472
Ejecución 2;0.0211232
Ejecución 3;0.0205101
Ejecución 4;0.0199436
Ejecución 5;0.0199144
Ejecución 6;0.0199879
Ejecución 7;0.0202648
Ejecución 8;0.0202459
Ejecución 9;0.0199698
Ejecución 10;0.0199568
Ejecución 11;0.0200529
Ejecución 12;0.0203569
Ejecución 13;0.0200155
Ejecución 14;0.020305
Ejecución 15;0.0199116
Ejecución 16;0.0200162
Ejecución 17;0.0204232
Ejecución 18;0.0231571
Ejecución 19;0.0200864
Ejecución 20;0.0203009
Ejecución 21;0.0198943
Ejecución 22;0.0200371
Ejecución 23;0.0206411
Ejecución 24;0.0199811
Ejecución 25;0.0199793
Ejecución 26;0.0202544
Ejecución 27;0.0198572
Ejecución 28;0.0202517
Ejecución 29;0.019825
Ejecución 30;0.0198474
Ejecución 31;0.0198782
Ejecución 32;0.0199166
Ejecución 33;0.0183993
Ejecución 34;0.0183786
Ejecución 35;0.0192671
Ejecución 36;0.0198905
Ejecución 37;0.0190564
Ejecución 38;0.0187962
Ejecución 39;0.0181525
Ejecución 40;0.0195809
Ejecución 41;0.0198704
Ejecución 42;0.0200278
Ejecución 43;0.0196739
Ejecución 44;0.0191108
Ejecución 45;0.0199821
Ejecución 46;0.020934
Ejecución 47;0.01951
Ejecución 48;0.0193284
Ejecución 49;0.0195329
Ejecución 50;0.0193358
Ejecución 51;0.0190594
Ejecución 52;0.0227945
Ejecución 53;0.0202411
Ejecución 54;0.0192094
Ejecución 55;0.0226049
Ejecución 56;0.0191248
Ejecución 57;0.0189481
Ejecución 58;0.018093
Ejecución 59;0.0183422
Ejecución 60;0.0179947
Ejecución 61;0.0179393
Ejecución 62;0.0179344
Ejecución 63;0.0181174
Ejecución 64;0.0175684
Ejecución 65;0.0177027
Ejecución 66;0.0176803
Ejecución 67;0.0180746
Ejecución 68;0.0181675
Ejecución 69;0.0202784
Ejecución 70;0.0178076
Ejecución 71;0.0177883
Ejecución 72;0.0181074
Ejecución 73;0.0177609
Ejecución 74;0.0177677
Ejecución 75;0.0177848
Ejecución 76;0.0181656
Ejecución 77;0.0181262
Ejecución 78;0.01783
Ejecución 79;0.017834
Ejecución 80;0.0178894
Ejecución 81;0.0179428
Ejecución 82;0.0179026
Ejecución 83;0.0179442
Ejecución 84;0.0178097
Ejecución 85;0.0176182
Ejecución 86;0.0175559
Ejecución 87;0.0174632
Ejecución 88;0.0174133
Ejecución 89;0.0185041
Ejecución 90;0.0178041
Ejecución 91;0.0175261
Ejecución 92;0.0179074
Ejecución 93;0.019453
Ejecución 94;0.0174941
Ejecución 95;0.0178433
Ejecución 96;0.0175372
Ejecución 97;0.0175106
Ejecución 98;0.0181097
Ejecución 99;0.0199619
Ejecución 100;0.0225987
Ejecución 101;0.023316
Ejecución 102;0.019203
Ejecución 103;0.0181916
Ejecución 104;0.0178285
Ejecución 105;0.017675
Ejecución 106;0.0192872
Ejecución 107;0.0198696
Ejecución 108;0.0200012
Ejecución 109;0.0182058
Ejecución 110;0.0226221
Ejecución 111;0.0185136
Ejecución 112;0.0178439
Ejecución 113;0.0177221
Ejecución 114;0.0174181
Ejecución 115;0.0173744
Ejecución 116;0.0177567
Ejecución 117;0.017408
Ejecución 118;0.0174046
Ejecución 119;0.0174631
Ejecución 120;0.0174308
Ejecución 121;0.017438
Ejecución 122;0.0175072
Ejecución 123;0.0175628
Ejecución 124;0.01747
Ejecución 125;0.017464
Ejecución 126;0.017468
