Algoritmo;Radix_Sort
Tamaño;5000000
Orden;desc
Repeticiones;100
Máquina;Vale
Tiempo total;43.2384s
Tiempo promedio;0.432384s
Tiempos individuales (s):
Ejecución 1;0.427869
Ejecución 2;0.438439
Ejecución 3;0.433347
Ejecución 4;0.458421
Ejecución 5;0.437179
Ejecución 6;0.449629
Ejecución 7;0.468286
Ejecución 8;0.452119
Ejecución 9;0.425167
Ejecución 10;0.423797
Ejecución 11;0.427785
Ejecución 12;0.433449
Ejecución 13;0.444657
Ejecución 14;0.429894
Ejecución 15;0.426812
Ejecución 16;0.487341
Ejecución 17;0.416159
Ejecución 18;0.419584
Ejecución 19;0.424802
Ejecución 20;0.470441
Ejecución 21;0.424545
Ejecución 22;0.437209
Ejecución 23;0.429264
Ejecución 24;0.437847
Ejecución 25;0.446155
Ejecución 26;0.42945
Ejecución 27;0.434598
Ejecución 28;0.426944
Ejecución 29;0.420452
Ejecución 30;0.514397
Ejecución 31;0.41805
Ejecución 32;0.478924
Ejecución 33;0.479243
Ejecución 34;0.450338
Ejecución 35;0.432024
Ejecución 36;0.519242
Ejecución 37;0.429569
Ejecución 38;0.431579
Ejecución 39;0.42881
Ejecución 40;0.462679
Ejecución 41;0.41098
Ejecución 42;0.441124
Ejecución 43;0.425631
Ejecución 44;0.43149
Ejecución 45;0.437617
Ejecución 46;0.431019
Ejecución 47;0.493917
Ejecución 48;0.432209
Ejecución 49;0.434485
Ejecución 50;0.409501
Ejecución 51;0.451338
Ejecución 52;0.444647
Ejecución 53;0.437406
Ejecución 54;0.424624
Ejecución 55;0.478705
Ejecución 56;0.426664
Ejecución 57;0.436794
Ejecución 58;0.43816
Ejecución 59;0.431484
Ejecución 60;0.4927
Ejecución 61;0.428645
Ejecución 62;0.433744
Ejecución 63;0.461912
Ejecución 64;0.412866
Ejecución 65;0.43305
Ejecución 66;0.415418
Ejecución 67;0.426559
Ejecución 68;0.402064
Ejecución 69;0.418518
Ejecución 70;0.467187
Ejecución 71;0.454347
Ejecución 72;0.42791
Ejecución 73;0.431101
Ejecución 74;0.454218
Ejecución 75;0.435884
Ejecución 76;0.427756
Ejecución 77;0.410968
Ejecución 78;0.406862
Ejecución 79;0.407964
Ejecución 80;0.402797
Ejecución 81;0.402698
Ejecución 82;0.407242
Ejecución 83;0.409049
Ejecución 84;0.404374
Ejecución 85;0.40985
Ejecución 86;0.425318
Ejecución 87;0.419449
Ejecución 88;0.411873
Ejecución 89;0.413932
Ejecución 90;0.397088
Ejecución 91;0.403242
Ejecución 92;0.396235
Ejecución 93;0.413872
Ejecución 94;0.403752
Ejecución 95;0.401517
Ejecución 96;0.404026
Ejecución 97;0.396562
Ejecución 98;0.411656
Ejecución 99;0.405935
Ejecución 100;0.404005
