Algoritmo;insertion_sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;22.2963s
Tiempo promedio;0.0222963s
Tiempos individuales (s):
Ejecución 1;0.0267565
Ejecución 2;0.0263457
Ejecución 3;0.0257298
Ejecución 4;0.0255276
Ejecución 5;0.0256135
Ejecución 6;0.0256026
Ejecución 7;0.0252988
Ejecución 8;0.0249321
Ejecución 9;0.0251935
Ejecución 10;0.0259149
Ejecución 11;0.0254599
Ejecución 12;0.0254299
Ejecución 13;0.0254702
Ejecución 14;0.0259314
Ejecución 15;0.0249638
Ejecución 16;0.0249717
Ejecución 17;0.0252293
Ejecución 18;0.0247209
Ejecución 19;0.0247306
Ejecución 20;0.025495
Ejecución 21;0.0247559
Ejecución 22;0.0247611
Ejecución 23;0.0247386
Ejecución 24;0.0247392
Ejecución 25;0.024685
Ejecución 26;0.0246117
Ejecución 27;0.0266686
Ejecución 28;0.0247204
Ejecución 29;0.02481
Ejecución 30;0.0247419
Ejecución 31;0.0248959
Ejecución 32;0.025389
Ejecución 33;0.025151
Ejecución 34;0.0239126
Ejecución 35;0.0246871
Ejecución 36;0.0247476
Ejecución 37;0.0245204
Ejecución 38;0.0246282
Ejecución 39;0.0251103
Ejecución 40;0.0254791
Ejecución 41;0.0252319
Ejecución 42;0.0247211
Ejecución 43;0.024159
Ejecución 44;0.0241262
Ejecución 45;0.0242679
Ejecución 46;0.024039
Ejecución 47;0.0240203
Ejecución 48;0.0240678
Ejecución 49;0.02372
Ejecución 50;0.0237053
Ejecución 51;0.0254419
Ejecución 52;0.025397
Ejecución 53;0.0251676
Ejecución 54;0.0232634
Ejecución 55;0.0226044
Ejecución 56;0.0223854
Ejecución 57;0.0223802
Ejecución 58;0.022357
Ejecución 59;0.0224825
Ejecución 60;0.022401
Ejecución 61;0.0223422
Ejecución 62;0.0219666
Ejecución 63;0.0223907
Ejecución 64;0.0224377
Ejecución 65;0.0223609
Ejecución 66;0.022452
Ejecución 67;0.0223661
Ejecución 68;0.0256696
